Horizon,Best_Score,region,mode,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
1,1.8824199873577476,SW,standard,50,,2,5,200
2,2.002098676546448,SW,standard,10,sqrt,1,2,200
3,2.0166677725086135,SW,standard,20,log2,2,2,300
4,2.02482139309411,SW,standard,10,log2,4,2,400
