Horizon,Best_Score,region,mode,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
1,3.764948658949374,MW,extreme,20,,2,2,200
2,4.409686448659306,MW,extreme,20,,1,5,200
3,4.5251332621058165,MW,extreme,50,log2,1,2,400
4,4.536845589772741,MW,extreme,20,sqrt,1,5,200
