Horizon,Best_Score,region,mode,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
1,2.8647816644351147,SW,extreme,50,,2,5,200
2,3.1149095350378135,SW,extreme,20,sqrt,1,5,200
3,3.1420791040694773,SW,extreme,20,sqrt,2,10,200
4,3.1602432072801676,SW,extreme,10,log2,1,5,200
