Region,Horizon,RMSE,RMSE_extreme
W,1,3.0775663010048278,3.4393888824476444
SW,1,2.702257697233413,3.138487929151618
MW,1,3.9521778378331094,4.861521765901596
SE,1,2.9461489380616044,3.6819208353983592
NE,1,3.2646678112024703,3.810423456032724
W,2,3.749663296298356,4.095126978678057
SW,2,3.5047783695300243,4.599150136086575
MW,2,5.035312463554611,6.013937307347355
SE,2,3.4844034343054124,4.0620212770632005
NE,2,3.9229180495902063,4.243846722676192
W,3,4.456404897137502,5.143083766794276
SW,3,4.0448745640963,4.323396074341793
MW,3,5.705646299521482,6.9719532461001394
SE,3,4.145895109941862,4.652689633907444
NE,3,4.714555943754529,4.793251433581658
W,4,5.262814755816748,5.9473625807377255
SW,4,4.682401428799971,4.686915472194083
MW,4,6.634410433935742,7.704017839949433
SE,4,4.647764703075915,5.025106915008724
NE,4,5.588003373457005,5.875542631311166
