Group,Mean_Importance,Std_Importance,Group_Size
356,0.01032873623306707,0.004014451930316825,12
403,0.007501467381092364,0.004727459711721299,10
423,0.006460793170275703,0.0028544452579131424,2
397,0.00638673517739261,0.003922052012752299,5
343,0.005627063468920746,0.005310371405994161,11
351,0.0053734759040217515,0.0015399796795169474,2
339,0.005119281462103187,0.0033665265929531682,5
396,0.004779139409614963,0.0014995406507603488,4
346,0.004572270333454509,0.0035441887047051226,8
354,0.004401748584959142,0.0019873471634284322,4
246,0.0043950385614973,0.0015113847396949068,2
247,0.00433670308911831,0.0028851773697325,1
222,0.004270988755073768,0.00100377951750945,1
298,0.004142006383995156,0.0015083007315963297,2
273,0.0041110241237931385,0.0019383583621550308,7
341,0.00399443721523427,0.002822364769209807,4
425,0.003873340539823844,0.001546688067363814,3
363,0.003871425347972979,0.002406750548592241,4
405,0.00379683165253355,0.002526058370058337,1
11,0.003772445851533579,0.002636917230066742,1
348,0.003680294795158412,0.004036736110878786,11
38,0.003641827688715393,0.001121767895406666,1
432,0.0035933917630780023,0.0011899550841945195,2
292,0.0034343356053854633,0.0027601329217535114,6
307,0.0033753526184505224,0.002267375961299138,5
438,0.0033673122407730906,0.0015812528251149922,3
205,0.0033665963473483496,0.0014705362087549165,2
2,0.0031510526492389613,0.0018157360661897892,1
327,0.0031336195751681785,0.0015678322459078875,2
281,0.003125195566585881,0.0017535567907093726,3
337,0.0030851015927877644,0.0019989016562848897,4
334,0.0030804520215978125,0.002278950383429412,6
374,0.0030712815616525946,0.001025533957278395,1
419,0.0030416354285139,0.002395701297297563,5
398,0.003034562475537084,0.0017112608302526035,3
260,0.0029240059664642493,0.0018982551579968725,2
269,0.0028648677220010966,0.0023965644059686796,3
143,0.002851233144629006,0.0018289737507568575,3
202,0.0028415539193872076,0.000745084938880781,1
271,0.0027378231131782505,0.0014209620828165802,1
411,0.002691258189663581,0.001222126348440208,2
118,0.002635659180832839,0.0017865290162849506,3
512,0.0026352146270017807,0.0030064730170534268,3
114,0.0026327825185799235,0.0019890568145250875,2
83,0.0026053257294192723,0.000765748060073844,1
404,0.0025496261986879044,0.0032472713494524214,2
513,0.0025277019031897385,0.0017733136335005514,2
176,0.002519375677024205,0.0011235721812100678,2
430,0.0024971088161721998,0.0013054709907127158,2
391,0.002474059839377185,0.0014274092079689326,1
421,0.002431365536346908,0.003809030250150063,2
121,0.0024152368833733505,0.0020666275111560725,5
75,0.0023831589468755964,0.002111245626905224,1
226,0.002373463640298179,0.0010228843962687161,2
216,0.002362029421168188,0.0011773235443898681,1
355,0.0023204701691776687,0.0023311669648033283,2
361,0.0023040989285452395,0.0021664493510213574,3
263,0.002297863298234293,0.0017791726680566884,1
558,0.0022532887863125906,0.0030001141393353197,1
283,0.0022082892109777097,0.0026235527333557207,1
