Group,Mean_Importance,Std_Importance,Group_Size
379,0.21768047416758957,0.04629128226331066,10
378,0.09942876597998125,0.0235920682031843,8
381,0.07678887985423692,0.019670893907978985,13
377,0.07284079995656434,0.016660302723562045,7
375,0.04578468433218057,0.014494182130108231,11
276,0.03328806234671129,0.014878709570038217,5
368,0.030415100202194355,0.008999659184145877,7
260,0.027358299622969273,0.007253653561774673,5
296,0.018837350101535488,0.009804284775180135,7
403,0.01806908468003936,0.01154766817301735,5
398,0.01722513363942162,0.0037562299714030763,2
393,0.016437569296346634,0.008646794922145215,7
282,0.015275004241454893,0.006162264087331014,6
266,0.01199033766756088,0.003256800976375583,3
197,0.009233502942998184,0.0026205622940277426,2
384,0.009132633076711017,0.008078524285466973,8
364,0.007921792887526768,0.0042537749633477775,5
284,0.007483250811867759,0.014742885111529267,5
351,0.007423038945251026,0.006466466467351814,2
499,0.007061944953698163,0.0021658646290215484,3
406,0.006582774322690099,0.005441632638717116,5
449,0.006445479630497397,0.00311230635282186,1
412,0.006188486977473451,0.004572753296074606,4
411,0.005281311643817554,0.001965161518447997,2
366,0.005227378477265132,0.0016858249144013626,3
331,0.005173668428642397,0.0016330605276846462,4
123,0.005088096938989084,0.0017307219282235817,3
165,0.005005883320995874,0.0027774041632232624,2
249,0.004966115497240064,0.002105967345694641,2
145,0.004688839964449932,0.0016846076073196096,3
215,0.004624259636430717,0.0013532650362673667,2
335,0.004592550549854834,0.0035933886992036497,4
262,0.004576931537928308,0.0027363151803166687,4
293,0.004566571984314383,0.0024340898373444745,6
399,0.004427880240256555,0.002013813844263651,1
298,0.004373943857614515,0.008269674844338513,6
287,0.004336167092561283,0.002806111141840505,5
263,0.00428808623878787,0.0017331067379318314,4
261,0.0038622750395790107,0.0026131549862442685,2
186,0.0037935879732486468,0.0023319647739109754,3
400,0.003775577658760998,0.0016635643740689925,3
27,0.003741366506785937,0.0024040046515355394,2
199,0.003640315287476925,0.0026694481920445314,4
125,0.003619780359112745,0.002705130932623874,3
385,0.0035580614072828975,0.005343155381146872,7
258,0.0035386947548572854,0.0020023615627953635,3
337,0.0034807772555746743,0.002338647319384512,4
397,0.003431284318377292,0.007015959938962988,8
