Group,Feature
1,t_500_weekave_atlantic_trop_pc20
2,ts_weekave_atlantic_trop_pc20
3,t_500_weekave_atlantic_trop_pc13
4,ts_weekave_arctic_pc18
5,t_500_weekave_mexico_gulf_pc16
6,ts_weekave_atlantic_ocean_pc16
7,ts_weekave_pacific_trop_pc19
8,ts_weekave_pacific_trop_pc14
9,ts_weekave_atlantic_trop_pc16
10,ts_weekave_pacific_ocean_pc16
11,ts_weekave_pacific_trop_pc16
12,ts_weekave_atlantic_ocean_pc17
13,ts_weekave_atlantic_ocean_pc5
14,ts_weekave_atlantic_trop_pc5
15,ts_weekave_pacific_ocean_pc8
16,ts_weekave_atlantic_ocean_pc15
17,ts_weekave_mexico_gulf_pc16
18,ts_weekave_pacific_ocean_pc19
19,ts_weekave_mexico_gulf_pc14
20,t_850_weekave_mexico_gulf_pc17
21,ts_weekave_pacific_trop_pc8
22,ts_weekave_atlantic_ocean_pc18
23,ts_weekave_pacific_trop_pc11
24,ts_weekave_pacific_ocean_pc17
25,ts_weekave_pacific_trop_pc17
26,ts_weekave_pacific_ocean_pc18
27,t_850_weekave_pacific_ocean_pc13
28,t_850_weekave_pacific_trop_pc20
29,ts_weekave_atlantic_trop_pc17
30,ts_weekave_atlantic_ocean_pc19
31,ts_weekave_pacific_ocean_pc12
32,ts_weekave_pacific_trop_pc13
33,ts_weekave_atlantic_ocean_pc9
34,ts_weekave_atlantic_trop_pc14
35,ts_weekave_pacific_trop_pc12
36,ts_weekave_pacific_ocean_pc14
37,ts_weekave_atlantic_ocean_pc6
38,SE_lag_1
39,SE_lag_2
40,ts_weekave_atlantic_ocean_pc7
41,SE_lag_3
42,SE_lag_4
43,SE_lag_5
44,ts_weekave_atlantic_trop_pc18
45,ts_weekave_atlantic_ocean_pc20
46,ts_weekave_mexico_gulf_pc20
47,ts_weekave_pacific_ocean_pc7
48,t_500_weekave_atlantic_ocean_pc9
49,t_850_weekave_atlantic_ocean_pc10
50,ts_weekave_atlantic_ocean_pc10
51,ts_weekave_pacific_trop_pc10
52,ts_weekave_mexico_gulf_pc13
53,ts_weekave_pacific_ocean_pc20
54,ts_weekave_pacific_trop_pc20
55,ts_weekave_atlantic_ocean_pc4
56,ts_weekave_pacific_ocean_pc10
57,ts_weekave_atlantic_ocean_pc12
58,ts_weekave_mexico_gulf_pc17
59,ts_weekave_atlantic_trop_pc7
60,ts_weekave_pacific_ocean_pc11
61,h_500_weekave_mexico_gulf_pc15
62,t_500_weekave_mexico_gulf_pc18
63,t_500_weekave_conus_pc20
64,t_500_weekave_mexico_gulf_pc14
65,t_500_weekave_mexico_gulf_pc15
66,h_500_weekave_mexico_gulf_pc16
67,h_850_weekave_mexico_gulf_pc17
68,h_500_weekave_mexico_gulf_pc20
69,t_500_weekave_mexico_gulf_pc20
70,h_850_weekave_mexico_gulf_pc19
71,t_500_weekave_mexico_gulf_pc11
72,h_500_weekave_mexico_gulf_pc18
73,slp_weekave_mexico_gulf_pc18
74,h_850_weekave_mexico_gulf_pc20
75,ts_weekave_mexico_gulf_pc19
76,t_500_weekave_mexico_gulf_pc19
77,slp_weekave_mexico_gulf_pc17
77,h_850_weekave_mexico_gulf_pc15
78,h_850_weekave_mexico_gulf_pc18
78,slp_weekave_mexico_gulf_pc20
79,h_500_weekave_mexico_gulf_pc19
80,slp_weekave_mexico_gulf_pc14
80,h_850_weekave_mexico_gulf_pc11
81,t_500_weekave_mexico_gulf_pc9
82,h_500_weekave_mexico_gulf_pc10
83,t_850_weekave_mexico_gulf_pc13
84,h_850_weekave_mexico_gulf_pc16
85,t_850_weekave_mexico_gulf_pc10
86,ts_weekave_mexico_gulf_pc15
87,t_500_weekave_mexico_gulf_pc12
88,h_500_weekave_mexico_gulf_pc13
89,ts_weekave_mexico_gulf_pc11
90,slp_weekave_mexico_gulf_pc13
91,h_850_weekave_mexico_gulf_pc13
92,slp_weekave_mexico_gulf_pc16
93,t_850_weekave_mexico_gulf_pc12
94,h_850_weekave_mexico_gulf_pc12
94,slp_weekave_mexico_gulf_pc15
95,h_500_weekave_mexico_gulf_pc14
96,ts_weekave_mexico_gulf_pc9
97,t_850_weekave_mexico_gulf_pc18
98,ts_weekave_mexico_gulf_pc10
99,t_850_weekave_mexico_gulf_pc15
100,t_850_weekave_mexico_gulf_pc7
100,slp_weekave_mexico_gulf_pc10
101,t_850_weekave_conus_pc20
102,ts_weekave_mexico_gulf_pc12
103,t_850_weekave_mexico_gulf_pc14
104,h_850_weekave_mexico_gulf_pc14
104,slp_weekave_mexico_gulf_pc19
105,h_500_weekave_mexico_gulf_pc17
106,t_850_weekave_mexico_gulf_pc20
107,t_500_weekave_mexico_gulf_pc17
108,t_850_weekave_conus_pc19
109,ts_weekave_conus_pc20
110,h_500_weekave_conus_pc19
110,t_500_weekave_conus_pc19
111,h_850_weekave_conus_pc20
112,slp_weekave_conus_pc20
113,h_500_weekave_conus_pc17
113,t_500_weekave_conus_pc15
114,h_500_weekave_conus_pc15
114,t_500_weekave_conus_pc16
115,slp_weekave_mexico_gulf_pc12
115,h_850_weekave_mexico_gulf_pc10
116,h_500_weekave_mexico_gulf_pc11
117,t_500_weekave_mexico_gulf_pc10
118,h_850_weekave_east_asia_pc15
118,slp_weekave_east_asia_pc19
119,t_850_weekave_east_asia_pc17
119,h_500_weekave_east_asia_pc15
120,ts_weekave_east_asia_pc17
121,h_500_weekave_east_asia_pc19
121,t_500_weekave_east_asia_pc18
122,h_850_weekave_east_asia_pc14
122,h_500_weekave_east_asia_pc16
123,t_850_weekave_east_asia_pc16
123,ts_weekave_east_asia_pc15
124,t_850_weekave_east_asia_pc19
124,h_500_weekave_east_asia_pc20
124,t_500_weekave_east_asia_pc20
125,ts_weekave_east_asia_pc18
126,t_850_weekave_east_asia_pc20
127,h_850_weekave_east_asia_pc17
127,h_500_weekave_east_asia_pc17
128,t_500_weekave_east_asia_pc19
128,h_500_weekave_east_asia_pc18
128,t_850_weekave_east_asia_pc18
129,h_850_weekave_east_asia_pc11
129,slp_weekave_east_asia_pc17
130,h_500_weekave_east_asia_pc11
130,t_500_weekave_east_asia_pc14
131,ts_weekave_east_asia_pc19
132,slp_weekave_east_asia_pc16
132,h_850_weekave_east_asia_pc12
133,h_500_weekave_east_asia_pc14
133,t_850_weekave_east_asia_pc13
133,t_500_weekave_east_asia_pc15
134,ts_weekave_east_asia_pc14
135,ts_weekave_east_asia_pc13
136,t_500_weekave_east_asia_pc16
136,h_500_weekave_east_asia_pc12
136,t_850_weekave_east_asia_pc11
137,ts_weekave_east_asia_pc20
138,slp_weekave_east_asia_pc18
138,h_850_weekave_east_asia_pc16
139,h_850_weekave_east_asia_pc18
139,slp_weekave_east_asia_pc20
140,t_850_weekave_east_asia_pc15
140,ts_weekave_east_asia_pc12
141,t_500_weekave_east_asia_pc17
142,slp_weekave_east_asia_pc9
142,h_850_weekave_east_asia_pc10
143,slp_weekave_east_asia_pc14
144,t_850_weekave_east_asia_pc14
144,h_500_weekave_east_asia_pc13
