Group,Feature
1,t_500_weekave_atlantic_trop_pc13
2,ts_weekave_arctic_pc18
3,t_500_weekave_mexico_gulf_pc16
4,t_500_weekave_atlantic_trop_pc20
5,t_500_weekave_pacific_trop_pc15
6,h_500_weekave_pacific_trop_pc18
7,t_500_weekave_pacific_trop_pc18
7,h_500_weekave_pacific_trop_pc17
8,slp_weekave_pacific_trop_pc20
8,h_850_weekave_pacific_trop_pc20
9,h_850_weekave_pacific_trop_pc19
9,slp_weekave_pacific_trop_pc19
10,ts_weekave_atlantic_ocean_pc16
11,ts_weekave_pacific_trop_pc19
12,ts_weekave_pacific_trop_pc14
13,ts_weekave_atlantic_trop_pc16
14,ts_weekave_pacific_ocean_pc16
15,ts_weekave_pacific_trop_pc16
16,ts_weekave_atlantic_ocean_pc17
17,ts_weekave_atlantic_ocean_pc5
18,ts_weekave_atlantic_trop_pc5
19,ts_weekave_pacific_ocean_pc8
20,ts_weekave_atlantic_ocean_pc15
21,ts_weekave_pacific_trop_pc11
22,ts_weekave_pacific_ocean_pc17
23,ts_weekave_mexico_gulf_pc14
24,t_850_weekave_mexico_gulf_pc17
25,ts_weekave_pacific_trop_pc8
26,ts_weekave_atlantic_ocean_pc18
27,ts_weekave_atlantic_trop_pc12
28,ts_weekave_mexico_gulf_pc16
29,ts_weekave_pacific_ocean_pc19
30,ts_weekave_pacific_trop_pc17
31,ts_weekave_pacific_ocean_pc18
32,t_850_weekave_pacific_ocean_pc13
33,t_850_weekave_pacific_trop_pc20
34,ts_weekave_pacific_trop_pc12
35,ts_weekave_pacific_ocean_pc14
36,ts_weekave_atlantic_ocean_pc19
37,ts_weekave_pacific_ocean_pc20
38,ts_weekave_pacific_trop_pc20
39,MW_lag_2
39,MW_lag_1
40,MW_lag_4
40,MW_lag_5
41,MW_lag_3
42,ts_weekave_atlantic_ocean_pc6
43,ts_weekave_conus_pc18
44,ts_weekave_mexico_gulf_pc18
45,ts_weekave_pacific_trop_pc4
46,ts_weekave_atlantic_trop_pc6
47,ts_weekave_pacific_ocean_pc6
48,ts_weekave_atlantic_ocean_pc13
49,ts_weekave_pacific_ocean_pc12
50,ts_weekave_pacific_trop_pc13
51,ts_weekave_atlantic_ocean_pc9
52,ts_weekave_atlantic_trop_pc14
53,slp_weekave_east_asia_pc19
53,h_850_weekave_east_asia_pc15
54,t_850_weekave_east_asia_pc17
54,h_500_weekave_east_asia_pc15
55,ts_weekave_east_asia_pc17
56,h_500_weekave_east_asia_pc19
56,t_500_weekave_east_asia_pc18
57,h_850_weekave_east_asia_pc14
57,h_500_weekave_east_asia_pc16
58,ts_weekave_east_asia_pc15
58,t_850_weekave_east_asia_pc16
59,t_500_weekave_east_asia_pc20
59,t_850_weekave_east_asia_pc19
59,h_500_weekave_east_asia_pc20
60,ts_weekave_east_asia_pc18
61,t_850_weekave_east_asia_pc20
62,h_500_weekave_east_asia_pc17
62,h_850_weekave_east_asia_pc17
63,h_500_weekave_east_asia_pc18
63,t_500_weekave_east_asia_pc19
63,t_850_weekave_east_asia_pc18
64,slp_weekave_pacific_ocean_pc6
64,h_850_weekave_pacific_ocean_pc6
64,h_500_weekave_pacific_ocean_pc6
64,t_850_weekave_pacific_ocean_pc6
64,t_500_weekave_pacific_ocean_pc7
65,t_850_weekave_pacific_ocean_pc9
65,t_500_weekave_pacific_ocean_pc8
66,t_850_weekave_pacific_ocean_pc7
66,h_500_weekave_pacific_ocean_pc7
66,h_850_weekave_pacific_ocean_pc7
66,slp_weekave_pacific_ocean_pc7
67,t_850_weekave_east_asia_pc7
67,slp_weekave_east_asia_pc13
67,t_500_weekave_east_asia_pc8
67,h_500_weekave_east_asia_pc7
68,slp_weekave_east_asia_pc8
68,h_850_weekave_east_asia_pc7
69,slp_weekave_pacific_ocean_pc9
69,h_850_weekave_pacific_ocean_pc9
69,h_500_weekave_pacific_ocean_pc9
70,h_500_weekave_pacific_ocean_pc10
70,h_850_weekave_pacific_ocean_pc10
70,slp_weekave_pacific_ocean_pc10
71,t_850_weekave_pacific_ocean_pc11
71,t_500_weekave_pacific_ocean_pc11
72,h_500_weekave_pacific_ocean_pc11
72,slp_weekave_pacific_ocean_pc12
72,h_850_weekave_pacific_ocean_pc12
73,t_850_weekave_pacific_ocean_pc10
73,t_500_weekave_pacific_ocean_pc12
74,t_500_weekave_pacific_ocean_pc9
74,t_850_weekave_pacific_ocean_pc8
75,h_500_weekave_pacific_ocean_pc8
75,h_850_weekave_pacific_ocean_pc8
75,slp_weekave_pacific_ocean_pc8
76,t_500_weekave_pacific_ocean_pc10
77,slp_weekave_east_asia_pc6
77,h_850_weekave_east_asia_pc8
78,h_500_weekave_east_asia_pc6
78,t_500_weekave_east_asia_pc6
78,t_500_weekave_east_asia_pc7
78,ts_weekave_east_asia_pc5
78,t_850_weekave_east_asia_pc6
79,ts_weekave_east_asia_pc10
79,h_500_weekave_east_asia_pc8
79,t_850_weekave_east_asia_pc8
80,slp_weekave_east_asia_pc10
80,t_500_weekave_east_asia_pc10
81,ts_weekave_east_asia_pc11
82,h_850_weekave_east_asia_pc20
83,t_850_weekave_east_asia_pc9
83,ts_weekave_east_asia_pc8
84,slp_weekave_east_asia_pc15
84,h_850_weekave_east_asia_pc13
85,t_850_weekave_east_asia_pc12
85,ts_weekave_east_asia_pc16
86,h_850_weekave_east_asia_pc9
86,h_500_weekave_east_asia_pc9
87,slp_weekave_east_asia_pc12
87,t_500_weekave_east_asia_pc9
88,h_850_weekave_east_asia_pc10
88,slp_weekave_east_asia_pc9
89,slp_weekave_east_asia_pc14
90,t_500_weekave_east_asia_pc13
90,h_500_weekave_east_asia_pc13
90,t_850_weekave_east_asia_pc14
91,t_500_weekave_east_asia_pc12
91,h_500_weekave_east_asia_pc10
91,ts_weekave_east_asia_pc9
91,t_850_weekave_east_asia_pc10
92,slp_weekave_east_asia_pc11
93,h_850_weekave_east_asia_pc19
94,h_500_weekave_east_asia_pc12
94,t_850_weekave_east_asia_pc11
94,t_500_weekave_east_asia_pc16
95,ts_weekave_east_asia_pc20
96,h_850_weekave_east_asia_pc16
96,slp_weekave_east_asia_pc18
97,h_850_weekave_east_asia_pc18
97,slp_weekave_east_asia_pc20
98,ts_weekave_east_asia_pc12
98,t_850_weekave_east_asia_pc15
99,t_500_weekave_east_asia_pc17
100,slp_weekave_east_asia_pc17
100,h_850_weekave_east_asia_pc11
101,h_500_weekave_east_asia_pc11
101,t_500_weekave_east_asia_pc14
102,ts_weekave_east_asia_pc19
103,slp_weekave_east_asia_pc16
103,h_850_weekave_east_asia_pc12
104,t_500_weekave_east_asia_pc15
104,h_500_weekave_east_asia_pc14
104,t_850_weekave_east_asia_pc13
105,ts_weekave_east_asia_pc14
106,ts_weekave_east_asia_pc13
107,t_500_weekave_pacific_ocean_pc18
107,h_500_weekave_pacific_ocean_pc20
108,t_850_weekave_pacific_ocean_pc19
109,t_500_weekave_pacific_ocean_pc19
110,t_500_weekave_pacific_trop_pc19
111,t_850_weekave_pacific_trop_pc5
112,ts_weekave_pacific_trop_pc9
113,ts_weekave_pacific_ocean_pc15
114,t_850_weekave_pacific_ocean_pc20
115,slp_weekave_pacific_trop_pc10
115,h_850_weekave_pacific_trop_pc10
116,t_850_weekave_pacific_trop_pc12
117,t_500_weekave_pacific_trop_pc9
117,h_500_weekave_pacific_trop_pc11
118,t_500_weekave_pacific_trop_pc12
119,slp_weekave_pacific_ocean_pc18
119,h_500_weekave_pacific_ocean_pc18
119,h_850_weekave_pacific_ocean_pc18
120,h_850_weekave_pacific_ocean_pc17
120,slp_weekave_pacific_ocean_pc17
121,h_500_weekave_pacific_ocean_pc17
121,t_500_weekave_pacific_ocean_pc17
122,h_500_weekave_pacific_trop_pc9
122,t_500_weekave_pacific_trop_pc8
123,t_850_weekave_pacific_ocean_pc18
123,t_850_weekave_pacific_trop_pc9
124,h_500_weekave_pacific_ocean_pc19
124,h_850_weekave_pacific_ocean_pc19
124,slp_weekave_pacific_ocean_pc19
125,t_850_weekave_pacific_ocean_pc15
126,t_850_weekave_pacific_ocean_pc14
127,t_500_weekave_pacific_ocean_pc20
128,h_500_weekave_pacific_ocean_pc15
128,h_850_weekave_pacific_ocean_pc15
128,slp_weekave_pacific_ocean_pc15
129,h_500_weekave_pacific_ocean_pc14
129,t_500_weekave_pacific_ocean_pc16
129,t_850_weekave_pacific_ocean_pc17
130,h_850_weekave_pacific_ocean_pc16
130,h_500_weekave_pacific_ocean_pc16
130,slp_weekave_pacific_ocean_pc16
131,h_500_weekave_pacific_trop_pc13
132,t_500_weekave_pacific_trop_pc14
133,h_850_weekave_pacific_ocean_pc20
133,slp_weekave_pacific_ocean_pc20
134,h_850_weekave_pacific_trop_pc7
134,slp_weekave_pacific_trop_pc7
135,h_850_weekave_pacific_trop_pc8
135,slp_weekave_pacific_trop_pc9
136,h_500_weekave_pacific_trop_pc7
136,t_500_weekave_pacific_trop_pc6
137,t_500_weekave_pacific_ocean_pc15
137,t_850_weekave_pacific_ocean_pc16
138,t_850_weekave_pacific_trop_pc6
