Group,Feature
1,t_500_weekave_atlantic_trop_pc20
2,ts_weekave_atlantic_trop_pc20
3,t_500_weekave_atlantic_trop_pc16
3,h_500_weekave_atlantic_trop_pc15
4,t_500_weekave_mexico_gulf_pc5
5,h_500_weekave_mexico_gulf_pc12
6,h_500_weekave_atlantic_trop_pc20
7,t_500_weekave_atlantic_trop_pc19
8,h_500_weekave_atlantic_trop_pc14
9,t_500_weekave_atlantic_trop_pc18
10,t_500_weekave_atlantic_trop_pc15
11,t_500_weekave_atlantic_trop_pc8
12,t_500_weekave_atlantic_trop_pc13
13,ts_weekave_arctic_pc18
14,h_850_weekave_atlantic_trop_pc20
15,slp_weekave_atlantic_trop_pc20
16,ts_weekave_atlantic_trop_pc19
17,ts_weekave_atlantic_ocean_pc16
18,ts_weekave_pacific_trop_pc19
19,ts_weekave_pacific_trop_pc14
20,ts_weekave_atlantic_trop_pc16
21,ts_weekave_pacific_ocean_pc16
22,h_500_weekave_atlantic_trop_pc11
23,t_500_weekave_atlantic_trop_pc11
24,t_500_weekave_atlantic_trop_pc14
25,h_500_weekave_atlantic_trop_pc18
26,ts_weekave_pacific_trop_pc7
27,ts_weekave_pacific_ocean_pc13
28,ts_weekave_atlantic_trop_pc10
29,ts_weekave_atlantic_trop_pc15
30,slp_weekave_atlantic_trop_pc16
31,t_850_weekave_atlantic_trop_pc16
32,h_500_weekave_atlantic_trop_pc16
33,t_500_weekave_atlantic_trop_pc17
34,t_500_weekave_atlantic_trop_pc7
34,h_500_weekave_atlantic_trop_pc7
35,slp_weekave_atlantic_trop_pc4
35,t_850_weekave_atlantic_trop_pc3
35,h_850_weekave_atlantic_trop_pc6
36,h_500_weekave_atlantic_trop_pc19
37,t_500_weekave_atlantic_trop_pc12
38,h_850_weekave_atlantic_trop_pc11
38,slp_weekave_atlantic_trop_pc13
39,h_500_weekave_atlantic_trop_pc13
40,ts_weekave_atlantic_trop_pc13
41,h_850_weekave_atlantic_trop_pc10
41,slp_weekave_atlantic_trop_pc9
42,t_850_weekave_atlantic_trop_pc14
43,h_850_weekave_atlantic_trop_pc15
44,ts_weekave_pacific_trop_pc16
45,ts_weekave_atlantic_ocean_pc17
46,ts_weekave_atlantic_ocean_pc5
47,ts_weekave_atlantic_trop_pc5
48,ts_weekave_atlantic_trop_pc2
49,t_850_weekave_atlantic_trop_pc13
50,h_850_weekave_atlantic_trop_pc12
50,slp_weekave_atlantic_trop_pc8
51,t_850_weekave_atlantic_trop_pc6
52,slp_weekave_atlantic_trop_pc18
52,h_850_weekave_atlantic_trop_pc17
53,t_850_weekave_atlantic_trop_pc10
54,slp_weekave_atlantic_trop_pc15
55,h_850_weekave_atlantic_trop_pc16
56,slp_weekave_atlantic_trop_pc17
57,t_850_weekave_atlantic_trop_pc19
58,t_500_weekave_atlantic_trop_pc5
58,h_500_weekave_atlantic_trop_pc4
59,t_850_weekave_mexico_gulf_pc8
60,t_850_weekave_atlantic_trop_pc9
61,slp_weekave_atlantic_trop_pc11
62,t_850_weekave_atlantic_trop_pc15
63,ts_weekave_atlantic_trop_pc17
64,t_850_weekave_atlantic_trop_pc8
65,slp_weekave_atlantic_trop_pc10
66,t_850_weekave_atlantic_trop_pc12
67,h_850_weekave_atlantic_trop_pc13
68,t_500_weekave_pacific_trop_pc15
69,h_500_weekave_pacific_trop_pc18
70,t_500_weekave_pacific_trop_pc18
70,h_500_weekave_pacific_trop_pc17
71,h_850_weekave_pacific_trop_pc20
71,slp_weekave_pacific_trop_pc20
72,h_850_weekave_pacific_trop_pc19
72,slp_weekave_pacific_trop_pc19
73,h_500_weekave_pacific_trop_pc16
73,t_500_weekave_pacific_trop_pc17
74,t_500_weekave_pacific_trop_pc16
75,t_500_weekave_mexico_gulf_pc16
76,ts_weekave_atlantic_trop_pc18
77,ts_weekave_atlantic_ocean_pc20
78,ts_weekave_mexico_gulf_pc20
79,t_500_weekave_atlantic_ocean_pc9
80,t_850_weekave_atlantic_ocean_pc10
81,ts_weekave_atlantic_ocean_pc10
82,ts_weekave_pacific_trop_pc10
83,ts_weekave_mexico_gulf_pc13
84,ts_weekave_pacific_ocean_pc12
85,ts_weekave_pacific_trop_pc13
86,ts_weekave_atlantic_ocean_pc9
87,ts_weekave_atlantic_trop_pc14
88,ts_weekave_pacific_trop_pc12
89,ts_weekave_pacific_ocean_pc14
90,ts_weekave_atlantic_ocean_pc6
91,SE_lag_1
92,SE_lag_2
93,ts_weekave_atlantic_ocean_pc7
94,SE_lag_3
95,SE_lag_4
96,SE_lag_5
97,ts_weekave_pacific_trop_pc11
98,ts_weekave_pacific_ocean_pc17
99,ts_weekave_atlantic_ocean_pc15
100,ts_weekave_mexico_gulf_pc18
101,ts_weekave_mexico_gulf_pc16
102,ts_weekave_pacific_ocean_pc19
103,ts_weekave_pacific_trop_pc17
104,ts_weekave_pacific_ocean_pc18
105,t_850_weekave_pacific_ocean_pc13
106,t_850_weekave_pacific_trop_pc20
107,ts_weekave_pacific_ocean_pc7
108,ts_weekave_atlantic_ocean_pc19
109,ts_weekave_mexico_gulf_pc14
110,t_850_weekave_mexico_gulf_pc17
111,ts_weekave_pacific_trop_pc8
112,ts_weekave_atlantic_ocean_pc18
113,ts_weekave_atlantic_trop_pc12
114,ts_weekave_pacific_ocean_pc20
115,ts_weekave_pacific_trop_pc20
116,ts_weekave_atlantic_ocean_pc12
117,ts_weekave_mexico_gulf_pc17
118,ts_weekave_atlantic_trop_pc7
119,ts_weekave_pacific_ocean_pc11
120,h_500_weekave_mexico_gulf_pc15
121,t_500_weekave_mexico_gulf_pc18
122,t_500_weekave_conus_pc20
123,t_500_weekave_mexico_gulf_pc14
124,h_500_weekave_mexico_gulf_pc20
125,t_500_weekave_mexico_gulf_pc20
126,h_850_weekave_mexico_gulf_pc19
127,t_500_weekave_mexico_gulf_pc11
128,h_500_weekave_mexico_gulf_pc18
129,slp_weekave_mexico_gulf_pc18
130,h_850_weekave_mexico_gulf_pc20
131,ts_weekave_mexico_gulf_pc19
132,t_500_weekave_mexico_gulf_pc19
133,t_500_weekave_mexico_gulf_pc15
134,h_500_weekave_mexico_gulf_pc16
135,h_850_weekave_mexico_gulf_pc17
136,h_500_weekave_conus_pc17
136,t_500_weekave_conus_pc15
137,t_500_weekave_conus_pc16
137,h_500_weekave_conus_pc15
138,h_850_weekave_mexico_gulf_pc10
138,slp_weekave_mexico_gulf_pc12
139,h_500_weekave_mexico_gulf_pc11
140,t_500_weekave_mexico_gulf_pc10
141,slp_weekave_mexico_gulf_pc17
141,h_850_weekave_mexico_gulf_pc15
142,h_850_weekave_mexico_gulf_pc18
142,slp_weekave_mexico_gulf_pc20
143,h_500_weekave_mexico_gulf_pc19
144,h_850_weekave_mexico_gulf_pc11
144,slp_weekave_mexico_gulf_pc14
145,t_500_weekave_mexico_gulf_pc9
146,h_500_weekave_mexico_gulf_pc10
147,t_850_weekave_mexico_gulf_pc13
148,h_850_weekave_mexico_gulf_pc16
149,t_850_weekave_mexico_gulf_pc10
