Group,Mean_Importance,Std_Importance,Group_Size,Feature,Region,Horizon
388,0.4263226535299756,0.0689013955784539,11,MW_current_week,MW,1
388,0.4263226535299756,0.0689013955784539,11,t_850_weekave_southern_canada_pc3,MW,1
388,0.4263226535299756,0.0689013955784539,11,ts_weekave_southern_canada_pc3,MW,1
388,0.4263226535299756,0.0689013955784539,11,t_500_weekave_southern_canada_pc3,MW,1
388,0.4263226535299756,0.0689013955784539,11,h_500_weekave_conus_mean,MW,1
388,0.4263226535299756,0.0689013955784539,11,t_850_weekave_conus_mean,MW,1
388,0.4263226535299756,0.0689013955784539,11,ts_weekave_conus_mean,MW,1
388,0.4263226535299756,0.0689013955784539,11,t_500_weekave_conus_mean,MW,1
388,0.4263226535299756,0.0689013955784539,11,h_500_weekave_conus_pc2,MW,1
388,0.4263226535299756,0.0689013955784539,11,t_500_weekave_conus_pc1,MW,1
388,0.4263226535299756,0.0689013955784539,11,h_500_weekave_southern_canada_pc3,MW,1
387,0.3713596692623936,0.0675182267467481,8,slp_weekave_southern_canada_mean,MW,1
387,0.3713596692623936,0.0675182267467481,8,slp_weekave_southern_canada_pc1,MW,1
387,0.3713596692623936,0.0675182267467481,8,h_850_weekave_southern_canada_pc2,MW,1
387,0.3713596692623936,0.0675182267467481,8,t_500_weekave_pacific_ocean_pc2,MW,1
387,0.3713596692623936,0.0675182267467481,8,slp_weekave_pacific_ocean_pc3,MW,1
387,0.3713596692623936,0.0675182267467481,8,h_850_weekave_pacific_ocean_pc3,MW,1
387,0.3713596692623936,0.0675182267467481,8,t_850_weekave_pacific_ocean_pc2,MW,1
387,0.3713596692623936,0.0675182267467481,8,h_500_weekave_pacific_ocean_pc2,MW,1
389,0.1250600538363971,0.0251133393228726,7,h_850_weekave_southern_canada_mean,MW,1
389,0.1250600538363971,0.0251133393228726,7,h_500_weekave_southern_canada_pc1,MW,1
389,0.1250600538363971,0.0251133393228726,7,h_850_weekave_southern_canada_pc1,MW,1
389,0.1250600538363971,0.0251133393228726,7,slp_weekave_southern_canada_pc2,MW,1
389,0.1250600538363971,0.0251133393228726,7,t_500_weekave_southern_canada_mean,MW,1
389,0.1250600538363971,0.0251133393228726,7,ts_weekave_southern_canada_mean,MW,1
389,0.1250600538363971,0.0251133393228726,7,h_500_weekave_southern_canada_mean,MW,1
374,0.1204418012042153,0.0201945757655954,12,ts_weekave_mexico_gulf_pc2,MW,1
374,0.1204418012042153,0.0201945757655954,12,ts_weekave_conus_pc2,MW,1
374,0.1204418012042153,0.0201945757655954,12,h_500_weekave_mexico_gulf_pc2,MW,1
374,0.1204418012042153,0.0201945757655954,12,t_850_weekave_mexico_gulf_pc1,MW,1
374,0.1204418012042153,0.0201945757655954,12,slp_weekave_conus_pc4,MW,1
374,0.1204418012042153,0.0201945757655954,12,h_850_weekave_mexico_gulf_pc2,MW,1
374,0.1204418012042153,0.0201945757655954,12,t_500_weekave_conus_pc2,MW,1
374,0.1204418012042153,0.0201945757655954,12,slp_weekave_mexico_gulf_pc2,MW,1
374,0.1204418012042153,0.0201945757655954,12,h_850_weekave_conus_pc2,MW,1
374,0.1204418012042153,0.0201945757655954,12,t_850_weekave_conus_pc2,MW,1
374,0.1204418012042153,0.0201945757655954,12,h_500_weekave_conus_pc1,MW,1
374,0.1204418012042153,0.0201945757655954,12,t_850_weekave_mexico_gulf_mean,MW,1
293,0.105992072194676,0.0175045461841203,6,h_850_weekave_arctic_pc2,MW,1
293,0.105992072194676,0.0175045461841203,6,ts_weekave_arctic_pc3,MW,1
293,0.105992072194676,0.0175045461841203,6,t_500_weekave_arctic_pc2,MW,1
293,0.105992072194676,0.0175045461841203,6,t_850_weekave_arctic_pc2,MW,1
293,0.105992072194676,0.0175045461841203,6,h_500_weekave_arctic_pc2,MW,1
293,0.105992072194676,0.0175045461841203,6,slp_weekave_arctic_pc2,MW,1
308,0.055309313079289,0.0229100630488869,6,slp_weekave_arctic_pc4,MW,1
308,0.055309313079289,0.0229100630488869,6,slp_weekave_east_asia_pc3,MW,1
308,0.055309313079289,0.0229100630488869,6,h_850_weekave_arctic_pc4,MW,1
308,0.055309313079289,0.0229100630488869,6,h_500_weekave_arctic_pc5,MW,1
308,0.055309313079289,0.0229100630488869,6,h_850_weekave_east_asia_pc3,MW,1
308,0.055309313079289,0.0229100630488869,6,h_500_weekave_east_asia_pc3,MW,1
375,0.0477814533205616,0.0132477877375622,7,t_850_weekave_mexico_gulf_pc2,MW,1
375,0.0477814533205616,0.0132477877375622,7,ts_weekave_conus_pc3,MW,1
375,0.0477814533205616,0.0132477877375622,7,t_850_weekave_conus_pc3,MW,1
375,0.0477814533205616,0.0132477877375622,7,t_500_weekave_mexico_gulf_pc2,MW,1
375,0.0477814533205616,0.0132477877375622,7,ts_weekave_mexico_gulf_pc1,MW,1
375,0.0477814533205616,0.0132477877375622,7,t_500_weekave_conus_pc3,MW,1
375,0.0477814533205616,0.0132477877375622,7,ts_weekave_mexico_gulf_mean,MW,1
371,0.0417454820997845,0.0164373228392837,8,ts_weekave_conus_pc5,MW,1
371,0.0417454820997845,0.0164373228392837,8,t_850_weekave_conus_pc5,MW,1
371,0.0417454820997845,0.0164373228392837,8,t_500_weekave_conus_pc5,MW,1
371,0.0417454820997845,0.0164373228392837,8,h_500_weekave_conus_pc5,MW,1
371,0.0417454820997845,0.0164373228392837,8,h_500_weekave_southern_canada_pc2,MW,1
371,0.0417454820997845,0.0164373228392837,8,t_500_weekave_southern_canada_pc2,MW,1
371,0.0417454820997845,0.0164373228392837,8,t_850_weekave_southern_canada_pc2,MW,1
371,0.0417454820997845,0.0164373228392837,8,ts_weekave_southern_canada_pc2,MW,1
295,0.0416215235826714,0.0145802379685977,5,h_500_weekave_pacific_ocean_pc5,MW,1
295,0.0416215235826714,0.0145802379685977,5,h_850_weekave_pacific_ocean_pc5,MW,1
295,0.0416215235826714,0.0145802379685977,5,t_850_weekave_pacific_ocean_pc4,MW,1
295,0.0416215235826714,0.0145802379685977,5,slp_weekave_pacific_ocean_pc5,MW,1
295,0.0416215235826714,0.0145802379685977,5,t_500_weekave_pacific_ocean_pc5,MW,1
370,0.0330547887298689,0.0263329713893715,2,h_850_weekave_conus_pc5,MW,1
370,0.0330547887298689,0.0263329713893715,2,slp_weekave_conus_pc5,MW,1
292,0.032011048769828,0.0103370782547024,8,ts_weekave_east_asia_mean,MW,1
292,0.032011048769828,0.0103370782547024,8,t_850_weekave_east_asia_mean,MW,1
292,0.032011048769828,0.0103370782547024,8,t_850_weekave_east_asia_pc1,MW,1
292,0.032011048769828,0.0103370782547024,8,h_500_weekave_east_asia_mean,MW,1
292,0.032011048769828,0.0103370782547024,8,h_500_weekave_east_asia_pc1,MW,1
292,0.032011048769828,0.0103370782547024,8,t_500_weekave_east_asia_mean,MW,1
292,0.032011048769828,0.0103370782547024,8,t_500_weekave_east_asia_pc1,MW,1
292,0.032011048769828,0.0103370782547024,8,ts_weekave_east_asia_pc1,MW,1
384,0.0280583147085402,0.0282331116692179,11,h_850_weekave_southern_canada_pc3,MW,1
384,0.0280583147085402,0.0282331116692179,11,slp_weekave_southern_canada_pc3,MW,1
384,0.0280583147085402,0.0282331116692179,11,t_500_weekave_atlantic_ocean_pc3,MW,1
384,0.0280583147085402,0.0282331116692179,11,h_500_weekave_southern_canada_pc4,MW,1
384,0.0280583147085402,0.0282331116692179,11,t_500_weekave_southern_canada_pc4,MW,1
