Group,Mean_Importance,Std_Importance,Group_Size
269,0.0397010389089707,0.010685189656462635,7
192,0.03002902381220096,0.010045733300923967,6
254,0.0251570279335676,0.012595126861450728,10
266,0.023324674817855096,0.00830558742635923,10
213,0.018952511583419884,0.008209740673543933,6
252,0.01787282614317709,0.0074407930924556085,7
202,0.01536353345375301,0.00986360332552797,6
249,0.011703383943078061,0.010702752296551989,7
208,0.011694842853650966,0.007374983583326957,6
204,0.010894808119192679,0.010279089018034857,3
400,0.010629888802849851,0.004307445485512823,4
410,0.010326759243280659,0.009820132262819567,2
182,0.009317793307724776,0.0058838826332939355,1
430,0.00931343151893933,0.004805733498682084,2
238,0.00880953607178685,0.005694485753878575,4
212,0.008393115421594067,0.010237675437144664,8
241,0.008329724857659215,0.008327806770983085,7
195,0.008263706580784236,0.0032019622281081813,2
233,0.008256122903209696,0.008122602056229142,7
126,0.0072542473395551975,0.004300127125309829,1
190,0.006935882589567832,0.005502143877276673,7
131,0.006789100575873519,0.006742911058371212,5
470,0.006406062860135986,0.003973197014330234,2
512,0.00638859578090476,0.014650535474450239,1
408,0.006187926882727934,0.004161818026613592,3
438,0.006151581069848611,0.0030036572521913905,1
148,0.006138244966567364,0.0032215555131404876,1
503,0.006134669210332433,0.004333060464493717,2
240,0.00575665377672947,0.00910171555734093,12
86,0.005458589548759685,0.00601177430393092,2
385,0.005280200382169786,0.00307330038558394,2
161,0.005079325294475368,0.006023760371125169,3
304,0.005067187465679935,0.0036124505998858156,1
452,0.005043611927511149,0.003745581377451603,3
476,0.004946169371707399,0.0029429295331019206,2
47,0.0048617571323898105,0.002994675953115423,1
137,0.004828405477265152,0.0043690403461680806,2
458,0.004774889251776537,0.0023227786265234136,1
237,0.004761659574538513,0.010327757155683591,8
230,0.004736215542035405,0.0039054323175674653,1
234,0.004618696313160075,0.00373124582642046,2
513,0.004568447487725669,0.002525501657710266,1
253,0.004557707964557301,0.018885858020972934,8
472,0.004528926198896421,0.006100573186597766,1
247,0.004405638683058743,0.006207998288754071,6
492,0.004393159754092801,0.004116928300219995,3
411,0.004389747681044743,0.0051379798496191415,5
44,0.004362771292109801,0.005627087175230849,2
286,0.0043334732671341135,0.004074235688883295,2
340,0.0043262635215413955,0.0037310006048961266,3
265,0.004316799175253605,0.005146555454924186,5
17,0.0042625306710203145,0.003719970110029252,1
406,0.0040828485926553085,0.0034858966284351724,2
357,0.004070563038627117,0.0016506750806914634,2
311,0.004038729983646183,0.015262676638304749,2
299,0.004007047032997502,0.0025755263643547533,1
251,0.003949168568428707,0.006027202404893949,6
103,0.003875955504837103,0.0020909446930568814,1
445,0.0037407297581837804,0.00195474656576828,1
163,0.0037381999994999583,0.0028183706869485694,2
391,0.0036861281209695563,0.0025885234575036115,2
177,0.003605111792196425,0.002962681316542518,2
65,0.003550638898189673,0.003796985942438549,1
505,0.0035268078497429746,0.0029765302050081457,2
405,0.0034548301596971863,0.0036372356007442715,3
184,0.0034012522111309005,0.0031434963023361856,3
216,0.003357686191046749,0.0027118569141554145,4
206,0.0033268050106266323,0.002039144130375926,1
384,0.003257999654097299,0.0031433226288115836,2
484,0.0032577138684941167,0.0050430653338839415,3
367,0.0032517337050330664,0.0013820838874677595,1
85,0.0031971529084446003,0.0017664186779856204,1
144,0.003195497731030583,0.0023717558968360795,2
528,0.0031524488251307935,0.003695966124724132,1
491,0.0031440195294444085,0.003774585220329083,2
507,0.003142324589896317,0.00352058177848037,2
550,0.003081963033957358,0.0011033531853892138,1
29,0.0030783372766725937,0.0018663644120224623,1
207,0.003061374514224946,0.00612873704822706,6
41,0.002729587791240906,0.0035928136432958105,2
7,0.002717350615578562,0.0018159468183638772,1
290,0.002706918698843008,0.0027068948128274838,2
242,0.002693082186361595,0.00490389625514425,5
373,0.0026893308723127786,0.003079333189325175,2
279,0.0026720378287294457,0.002725828399912467,2
456,0.002631333728987384,0.0021581935829734747,2
416,0.002609640040937089,0.0036876710144745943,2
217,0.00258952959545522,0.001367678237343501,2
272,0.002542839797355434,0.0012897843484650847,2
143,0.0025149149992124364,0.0017986677453955904,1
417,0.0024964329583588183,0.0016662167751915172,2
423,0.002474942593017326,0.0026011215244648137,3
298,0.0024538692076354176,0.002144350905721009,1
248,0.0024222310332034703,0.0027937963341251467,4
314,0.00241415296288392,0.002025727394365638,2
25,0.002387300702744355,0.001274809199015553,1
431,0.002371654097751019,0.0015251422335810126,2
79,0.0023249159498602177,0.002957710271989153,2
539,0.002260470673523951,0.001590334658036984,1
222,0.0022452705368384953,0.003363394501577009,3
516,0.0022368742850967125,0.002230824326193189,1
284,0.002222634306473381,0.00425448869715595,2
337,0.0022151899228403773,0.0014304825611032624,3
517,0.002199286712380344,0.00242469024662375,1
73,0.0021991423180035773,0.0020437633444150565,1
334,0.002177424758310975,0.005285235325301141,4
308,0.0021631797201249634,0.001154046147388504,1
165,0.0021630112843332495,0.0018181539538918126,1
557,0.0021054700905942525,0.0011899764105366552,1
150,0.002098639783315681,0.002621768676891851,3
24,0.0020095970825621647,0.0013419931637076448,1
105,0.0020060367545712944,0.0014178732282506732,1
541,0.001974402433075806,0.0015421282226894485,1
328,0.0019707056170170656,0.0039527184745804704,4
22,0.0019518108358928198,0.0027571977711994527,1
501,0.001948127220369722,0.0011918960750493862,1
97,0.0019313196930759613,0.0015129106094855878,1
301,0.0019109103935316175,0.0036094668545315384,1
114,0.0019000966073906334,0.003857159560683291,2
120,0.001897741542451614,0.0014640256422240386,1
331,0.0018957598710259039,0.0024398660230871565,1
461,0.0018822325853102395,0.0038366844148062665,3
69,0.001847230372195785,0.004853721946649524,2
136,0.001846592572270378,0.002835977075715546,3
243,0.001825146676361733,0.003672297737508315,2
78,0.0018217703174960853,0.002114194552919149,1
296,0.0018009238870027033,0.002127929265858833,1
565,0.0017654940057877599,0.0017317229338824854,1
352,0.0017621113031969227,0.0009112892926030093,1
285,0.0017600870776805166,0.0012447714569745123,2
276,0.0017150279664406298,0.004534494810781911,5
371,0.0016964533387506808,0.0025536738093340774,2
215,0.0016942226308220842,0.0021848577088311393,2
48,0.0016891986846018447,0.002696076550691286,1
518,0.0016647876391925553,0.0019389180771865906,1
349,0.0016550544427312186,0.00525086778196192,1
40,0.001639578780585227,0.0014147055226237347,1
127,0.0016113596745502613,0.0020700727374731594,1
372,0.0016109257473675865,0.001706196055932854,1
563,0.0016037191055643164,0.0026210419477228986,1
485,0.0015889340178754541,0.0035777137427471226,2
345,0.0015759832528764671,0.002759355322592742,2
302,0.0015618580475495135,0.0009478295923773622,1
356,0.0015596282418018248,0.0030293068857020246,2
259,0.0015534698505990541,0.002257908251089263,3
196,0.0015502354228555503,0.003394347609627033,5
561,0.0015481837999165916,0.0027759570891246607,1
392,0.0015325366028067222,0.003058905109764278,3
1,0.001522533196465492,0.0018256310651213977,1
478,0.0015221269175967667,0.009000997060368977,1
186,0.00151800551269492,0.0023482778513138542,3
529,0.0015027076506817227,0.0014713417748136648,1
224,0.0014745265557093656,0.0025615970234898915,2
510,0.0014705714974025507,0.0018822234611771426,1
123,0.0014688832422026011,0.0017692655684202138,1
172,0.001464603161545197,0.003867101991794369,1
414,0.0014635046752469183,0.0024215520935198737,1
420,0.001462185915570169,0.0036804924703732166,2
112,0.0014246234893947828,0.006804491431828359,1
115,0.0014122625411089108,0.0014093713378181669,1
288,0.0014072679164286671,0.0012629265414254491,1
239,0.0014062577460163706,0.005873568059702596,2
488,0.0013936595320073852,0.0009869941043759332,1
119,0.0013755908470623802,0.0009581755956206848,1
82,0.0013451427649001867,0.0008348587203432021,1
300,0.0013299879994094876,0.0016828454382562866,1
149,0.0013259163602294065,0.002611074904514463,2
350,0.0013133820621698434,0.0014219945828435451,1
107,0.0013047183315171296,0.0015866384284022512,1
547,0.001299516311634985,0.001801145986909167,1
490,0.0012775526885838938,0.0016269276630009777,1
317,0.001251926079355581,0.001115999882067467,1
291,0.0012353484862013264,0.0023294772489142997,2
228,0.0012206536722274564,0.002586894577264051,2
538,0.0012163679218303524,0.0012022975265691405,1
427,0.0012150172661193892,0.003370461562182504,3
326,0.0012049558978060927,0.002583797766215735,4
104,0.0011904659403089823,0.001218299209655558,1
514,0.0011652069046814261,0.0018921846976796977,1
388,0.0011567216178570484,0.0020845284936013395,1
55,0.0011489164024392818,0.0006267523246745263,1
49,0.0011429757366616666,0.002426330476165374,1
560,0.0011316935835360199,0.0017756974560400242,1
62,0.0011216588524745053,0.0018214999158667141,1
45,0.0011191753219761402,0.00135788337783382,1
441,0.0011185411668603873,0.0008867119296783253,1
339,0.0011126868087703468,0.004239675434609441,2
154,0.0011002092868863222,0.0013848903560821036,2
553,0.0010913218060401686,0.0012143498274668017,1
287,0.001050202564227032,0.0018236723267773798,1
442,0.001049372980012242,0.0018062327504863003,2
98,0.001005457157602274,0.0009009784883712815,1
170,0.001003231752477074,0.0014876473998657665,1
330,0.00099240550084696,0.000928605626227206,1
379,0.0009895629325110012,0.00145151527807038,2
422,0.0009892717344837543,0.001588047774771399,1
147,0.0009888645946119824,0.0039532395485956775,2
274,0.0009564812026809477,0.0028049725308497754,2
506,0.0009498515518378437,0.0022877552688323425,3
160,0.0009413064276126981,0.0012792138505180843,1
303,0.0009093842375370809,0.0012233722130259134,1
72,0.0008970095478933349,0.0022462994605730985,1
355,0.0008938807130560277,0.00404868137756876,2
81,0.0008880547896585878,0.0027327159733915177,2
333,0.000882491481046932,0.0014782275981046961,1
30,0.0008749452277300839,0.0017168144384407723,1
439,0.0008015575152288789,0.0011905251471703597,1
42,0.0007949487105173958,0.00044217097280762355,1
482,0.0007927224152445955,0.0016595212948630127,1
70,0.0007843678755090177,0.0011161998538756998,2
87,0.0007552412765025274,0.0024639301040056895,1
486,0.0007428821988491929,0.001050730173673001,2
109,0.0007415974917378332,0.0020946583058184818,1
168,0.0007264981859362862,0.0020627401921851246,1
108,0.0007199635412533211,0.002107115471894924,2
171,0.0007142684157356527,0.0011123086199506433,1
15,0.0007113445018966935,0.0005246375079529323,1
530,0.0007035300880589013,0.0032123751937919868,1
96,0.0006982300284589904,0.0033136310442259415,1
536,0.0006779234482694463,0.000736819228245957,1
95,0.0006760978339292567,0.0014176663871570182,1
370,0.0006654346257456645,0.002985233777975425,2
468,0.0006361064947526974,0.0018551025779342566,2
526,0.0006216974495391713,0.0007956914141800672,1
469,0.0006015762377187261,0.001859756861819124,2
377,0.0006010622078183481,0.0028145488699563145,3
305,0.000600010359867964,0.0008075302122581317,1
219,0.0005976968161983898,0.004791347394992238,5
27,0.0005893876513536789,0.0012823133607248044,1
10,0.0005828945141921338,0.00045792386191985553,1
145,0.000579000405718233,0.0021988477270360675,1
336,0.0005754176921548559,0.0014259166402302383,2
351,0.0005729252677558084,0.0017171279653448279,1
