Group,Mean_Importance,Std_Importance,Group_Size
402,0.03456949928419224,0.009379657411668225,11
374,0.026715636261762744,0.007099922079850131,6
492,0.025342427314486837,0.007199119062640196,2
320,0.01519366705959948,0.008626485004930315,10
135,0.015114652973683019,0.007288418218782078,5
147,0.014586175703806159,0.0056835591680251115,3
386,0.014370519386174951,0.005545076565726643,4
524,0.014315057649260688,0.007059169326732495,3
403,0.0141142561491022,0.008742056147974277,7
399,0.013556063538976471,0.00786658178521134,6
379,0.013172993041555702,0.006399247141934161,2
139,0.01315838570770449,0.005774267072967029,2
431,0.01301232028060042,0.004226275030177464,2
349,0.012054142391594436,0.0061329012924414275,6
96,0.011794974382771172,0.004386958741608678,1
443,0.010612756571528515,0.006186305504129002,2
392,0.010190525439810649,0.0035820877072400754,3
337,0.009667732031598496,0.007982722952242121,7
99,0.00950383038000755,0.0032623019306676454,1
129,0.008875984310287511,0.00403225582067343,3
531,0.00863547486032532,0.0027090215710179415,2
477,0.008252996852351303,0.0038984082790190435,1
555,0.00814730013858691,0.003912620362323571,2
462,0.008081263089529412,0.003242616318349715,2
553,0.008054926653172955,0.0038388364558672975,3
280,0.007807868210619429,0.0030138061341414895,1
11,0.007698029265013062,0.0031025957328770586,2
284,0.0075665663860747575,0.004181471567440297,3
134,0.007469296491874555,0.005471767554508491,3
67,0.007248149673481574,0.0032924285290949723,1
317,0.007102028527278215,0.005876891326771419,4
415,0.007040516892992166,0.003308195276961615,2
326,0.006993660020399961,0.0021426043097994784,1
142,0.006943303232324993,0.0034324422798041924,2
247,0.006892828931507555,0.0039845247713272205,1
446,0.006732892185614325,0.006747714977702906,5
509,0.00642752317283346,0.0028617914720943187,2
287,0.00622515426704231,0.004083253038112698,3
467,0.006062105156183595,0.002795301784457575,2
530,0.005987631742284538,0.004820418417092318,3
523,0.005974439599339565,0.0042123957282039545,2
551,0.00596568947920435,0.0030778983018061854,2
302,0.005853922538284895,0.0033931310333265427,2
91,0.005814016049851834,0.0026618131305674074,1
70,0.00578823183193089,0.0038394813880320206,1
427,0.005699620478330924,0.003947952243306694,2
336,0.005698347837434436,0.00567316366182653,5
383,0.005662427133321923,0.00343561537268011,2
154,0.005604766453480359,0.00502637916951199,1
510,0.00550036039002606,0.004510782709392027,2
479,0.005472428610093427,0.0054518588261609074,1
80,0.005466419542906031,0.0014054310362085819,1
73,0.0052293258188016445,0.0027114402706956697,1
246,0.0051975945664443305,0.005780986845438207,1
395,0.0051774934549770005,0.004036618378648364,2
136,0.0050248345072336775,0.006410634793462363,1
388,0.004920075856383832,0.008879068091961338,12
155,0.0048973804131667185,0.0031898340369809148,1
397,0.0048630388983839975,0.005581978728603025,2
5,0.004825213790555694,0.0023592534260494223,1
533,0.0048202554181282055,0.0018586333710921513,2
47,0.004778167342115313,0.005232695806928576,1
341,0.004740877498213702,0.0057983011862395815,3
19,0.004674991591293765,0.008998976853048643,1
190,0.0046667628474169835,0.004345729180752472,2
118,0.00462089103213561,0.00660577639214588,2
187,0.004574312017314864,0.005215813824866637,2
391,0.00452880165590921,0.004511965103966135,2
249,0.004505968669559745,0.0025862093277911205,1
218,0.004477536581710506,0.003898872889602707,1
537,0.004461736584227794,0.001151072032919391,1
556,0.004458933674849508,0.0022112949222431776,2
387,0.004414430566071203,0.004169223899027153,2
458,0.004362945448240385,0.002261880297935227,2
504,0.004286928802205292,0.003230870437684558,1
421,0.00427257241302934,0.0036421842162300544,1
192,0.004263074122356247,0.0055740266615858635,3
459,0.0042108980099627045,0.003062518860407583,2
18,0.004206803362223255,0.0018751686743032402,1
