Group,Feature
1,t_500_weekave_atlantic_trop_pc20
2,ts_weekave_atlantic_trop_pc20
3,t_500_weekave_atlantic_trop_pc16
3,h_500_weekave_atlantic_trop_pc15
4,t_500_weekave_mexico_gulf_pc5
5,h_500_weekave_mexico_gulf_pc12
6,h_500_weekave_atlantic_trop_pc20
7,t_500_weekave_atlantic_trop_pc19
8,h_500_weekave_atlantic_trop_pc14
9,t_500_weekave_atlantic_trop_pc18
10,t_500_weekave_atlantic_trop_pc15
11,t_500_weekave_atlantic_trop_pc8
12,h_850_weekave_pacific_trop_pc18
12,slp_weekave_pacific_trop_pc18
13,h_500_weekave_pacific_trop_pc19
13,t_500_weekave_pacific_trop_pc20
14,t_500_weekave_pacific_trop_pc15
15,h_500_weekave_pacific_trop_pc18
16,t_500_weekave_pacific_trop_pc18
16,h_500_weekave_pacific_trop_pc17
17,h_850_weekave_pacific_trop_pc20
17,slp_weekave_pacific_trop_pc20
18,h_850_weekave_pacific_trop_pc19
18,slp_weekave_pacific_trop_pc19
19,h_500_weekave_mexico_gulf_pc20
20,t_500_weekave_mexico_gulf_pc20
21,h_850_weekave_mexico_gulf_pc19
22,t_500_weekave_mexico_gulf_pc15
23,h_500_weekave_mexico_gulf_pc16
24,h_850_weekave_mexico_gulf_pc17
25,ts_weekave_pacific_trop_pc10
26,ts_weekave_mexico_gulf_pc13
27,t_500_weekave_mexico_gulf_pc11
28,h_500_weekave_mexico_gulf_pc18
29,slp_weekave_mexico_gulf_pc18
30,h_850_weekave_mexico_gulf_pc20
31,ts_weekave_mexico_gulf_pc19
32,h_850_weekave_east_asia_pc15
32,slp_weekave_east_asia_pc19
33,t_850_weekave_east_asia_pc17
33,h_500_weekave_east_asia_pc15
34,ts_weekave_east_asia_pc17
35,h_500_weekave_east_asia_pc19
35,t_500_weekave_east_asia_pc18
36,h_500_weekave_east_asia_pc16
36,h_850_weekave_east_asia_pc14
37,t_850_weekave_east_asia_pc16
37,ts_weekave_east_asia_pc15
38,t_500_weekave_east_asia_pc20
38,h_500_weekave_east_asia_pc20
38,t_850_weekave_east_asia_pc19
39,ts_weekave_east_asia_pc18
40,t_850_weekave_east_asia_pc20
41,h_500_weekave_east_asia_pc17
41,h_850_weekave_east_asia_pc17
42,h_500_weekave_east_asia_pc18
42,t_500_weekave_east_asia_pc19
42,t_850_weekave_east_asia_pc18
43,slp_weekave_east_asia_pc6
43,h_850_weekave_east_asia_pc8
44,t_500_weekave_east_asia_pc6
44,h_500_weekave_east_asia_pc6
44,t_850_weekave_east_asia_pc6
44,t_500_weekave_east_asia_pc7
44,ts_weekave_east_asia_pc5
45,slp_weekave_east_asia_pc13
45,t_500_weekave_east_asia_pc8
45,h_500_weekave_east_asia_pc7
45,t_850_weekave_east_asia_pc7
46,slp_weekave_east_asia_pc8
46,h_850_weekave_east_asia_pc7
47,slp_weekave_pacific_ocean_pc9
47,h_500_weekave_pacific_ocean_pc9
47,h_850_weekave_pacific_ocean_pc9
48,slp_weekave_east_asia_pc9
48,h_850_weekave_east_asia_pc10
49,slp_weekave_east_asia_pc14
50,t_850_weekave_east_asia_pc14
50,t_500_weekave_east_asia_pc13
50,h_500_weekave_east_asia_pc13
51,t_850_weekave_east_asia_pc10
51,h_500_weekave_east_asia_pc10
51,t_500_weekave_east_asia_pc12
51,ts_weekave_east_asia_pc9
52,slp_weekave_east_asia_pc11
53,h_850_weekave_east_asia_pc19
54,t_850_weekave_east_asia_pc9
54,ts_weekave_east_asia_pc8
55,h_850_weekave_east_asia_pc13
55,slp_weekave_east_asia_pc15
56,t_850_weekave_east_asia_pc12
56,ts_weekave_east_asia_pc16
57,h_500_weekave_east_asia_pc9
57,h_850_weekave_east_asia_pc9
58,t_500_weekave_east_asia_pc9
58,slp_weekave_east_asia_pc12
59,t_850_weekave_east_asia_pc8
59,ts_weekave_east_asia_pc10
59,h_500_weekave_east_asia_pc8
60,slp_weekave_east_asia_pc10
60,t_500_weekave_east_asia_pc10
61,ts_weekave_east_asia_pc11
62,h_850_weekave_east_asia_pc20
63,t_850_weekave_east_asia_pc11
63,h_500_weekave_east_asia_pc12
63,t_500_weekave_east_asia_pc16
64,ts_weekave_east_asia_pc20
65,slp_weekave_east_asia_pc18
65,h_850_weekave_east_asia_pc16
66,slp_weekave_east_asia_pc20
66,h_850_weekave_east_asia_pc18
67,ts_weekave_east_asia_pc12
67,t_850_weekave_east_asia_pc15
68,t_500_weekave_east_asia_pc17
69,slp_weekave_east_asia_pc17
69,h_850_weekave_east_asia_pc11
70,t_500_weekave_east_asia_pc14
70,h_500_weekave_east_asia_pc11
71,ts_weekave_east_asia_pc19
72,h_850_weekave_east_asia_pc12
72,slp_weekave_east_asia_pc16
73,t_500_weekave_east_asia_pc15
73,h_500_weekave_east_asia_pc14
73,t_850_weekave_east_asia_pc13
74,ts_weekave_east_asia_pc14
75,ts_weekave_east_asia_pc13
76,h_500_weekave_pacific_trop_pc6
76,t_500_weekave_pacific_trop_pc5
77,t_850_weekave_pacific_trop_pc18
78,h_500_weekave_pacific_trop_pc9
78,t_500_weekave_pacific_trop_pc8
79,t_850_weekave_pacific_trop_pc14
80,h_850_weekave_pacific_trop_pc12
80,slp_weekave_pacific_trop_pc12
81,h_500_weekave_pacific_trop_pc10
81,t_850_weekave_pacific_trop_pc11
82,t_500_weekave_pacific_trop_pc10
83,t_850_weekave_pacific_trop_pc13
84,ts_weekave_pacific_trop_pc15
85,t_850_weekave_pacific_trop_pc8
85,h_500_weekave_pacific_trop_pc8
86,slp_weekave_pacific_trop_pc11
86,h_850_weekave_pacific_trop_pc11
86,t_850_weekave_pacific_trop_pc17
87,h_500_weekave_pacific_trop_pc16
87,t_500_weekave_pacific_trop_pc17
88,t_500_weekave_pacific_trop_pc16
89,slp_weekave_pacific_trop_pc6
89,h_850_weekave_pacific_trop_pc6
90,t_500_weekave_pacific_trop_pc7
91,h_500_weekave_pacific_trop_pc14
92,t_850_weekave_pacific_trop_pc19
93,h_500_weekave_pacific_ocean_pc13
93,h_850_weekave_pacific_ocean_pc13
93,slp_weekave_pacific_ocean_pc13
94,t_850_weekave_pacific_trop_pc7
94,h_850_weekave_pacific_trop_pc9
94,slp_weekave_pacific_trop_pc8
95,t_500_weekave_pacific_trop_pc3
95,t_500_weekave_pacific_ocean_pc14
96,t_500_weekave_pacific_trop_pc11
97,h_500_weekave_pacific_trop_pc20
98,h_500_weekave_pacific_trop_pc12
98,t_500_weekave_pacific_trop_pc13
99,slp_weekave_pacific_trop_pc15
99,h_850_weekave_pacific_trop_pc15
100,t_850_weekave_pacific_trop_pc16
101,h_850_weekave_pacific_trop_pc13
101,slp_weekave_pacific_trop_pc14
102,t_850_weekave_pacific_trop_pc10
103,h_850_weekave_pacific_trop_pc14
103,slp_weekave_pacific_trop_pc13
104,t_850_weekave_pacific_trop_pc15
105,ts_weekave_pacific_trop_pc18
106,h_850_weekave_pacific_trop_pc17
106,slp_weekave_pacific_trop_pc16
107,slp_weekave_pacific_trop_pc17
