Group,Feature
1,t_500_weekave_atlantic_trop_pc20
2,ts_weekave_atlantic_trop_pc20
3,t_500_weekave_atlantic_trop_pc13
4,ts_weekave_arctic_pc18
5,t_500_weekave_mexico_gulf_pc16
6,h_500_weekave_atlantic_trop_pc15
6,t_500_weekave_atlantic_trop_pc16
7,t_500_weekave_mexico_gulf_pc5
8,h_500_weekave_mexico_gulf_pc12
9,h_500_weekave_atlantic_trop_pc20
10,t_500_weekave_atlantic_trop_pc19
11,h_500_weekave_atlantic_trop_pc14
12,t_500_weekave_atlantic_trop_pc18
13,t_500_weekave_atlantic_trop_pc15
14,t_500_weekave_atlantic_trop_pc8
15,h_500_weekave_mexico_gulf_pc20
16,t_500_weekave_mexico_gulf_pc20
17,h_850_weekave_mexico_gulf_pc19
18,h_500_weekave_mexico_gulf_pc15
19,t_500_weekave_mexico_gulf_pc18
20,t_500_weekave_conus_pc20
21,t_500_weekave_mexico_gulf_pc14
22,ts_weekave_atlantic_ocean_pc7
23,t_850_weekave_mexico_gulf_pc20
24,slp_weekave_mexico_gulf_pc17
24,h_850_weekave_mexico_gulf_pc15
25,slp_weekave_mexico_gulf_pc20
25,h_850_weekave_mexico_gulf_pc18
26,h_500_weekave_mexico_gulf_pc19
27,t_500_weekave_mexico_gulf_pc15
28,h_500_weekave_mexico_gulf_pc16
29,h_850_weekave_mexico_gulf_pc17
30,ts_weekave_pacific_trop_pc10
31,ts_weekave_mexico_gulf_pc13
32,t_500_weekave_mexico_gulf_pc11
33,h_500_weekave_mexico_gulf_pc18
34,slp_weekave_mexico_gulf_pc18
35,h_850_weekave_mexico_gulf_pc20
36,ts_weekave_mexico_gulf_pc19
37,t_500_weekave_mexico_gulf_pc19
38,ts_weekave_pacific_ocean_pc20
39,ts_weekave_pacific_trop_pc20
40,ts_weekave_atlantic_ocean_pc12
41,ts_weekave_mexico_gulf_pc17
42,ts_weekave_atlantic_trop_pc7
43,ts_weekave_pacific_ocean_pc11
44,ts_weekave_pacific_ocean_pc12
45,ts_weekave_pacific_trop_pc13
46,ts_weekave_atlantic_ocean_pc9
47,ts_weekave_atlantic_trop_pc14
48,ts_weekave_pacific_trop_pc16
49,ts_weekave_atlantic_ocean_pc17
50,ts_weekave_pacific_trop_pc12
51,ts_weekave_pacific_ocean_pc14
52,ts_weekave_atlantic_ocean_pc6
53,ts_weekave_mexico_gulf_pc14
54,t_850_weekave_mexico_gulf_pc17
55,ts_weekave_pacific_trop_pc8
56,ts_weekave_atlantic_ocean_pc18
57,ts_weekave_atlantic_trop_pc12
58,ts_weekave_pacific_trop_pc11
59,ts_weekave_pacific_ocean_pc17
60,ts_weekave_atlantic_ocean_pc15
61,ts_weekave_mexico_gulf_pc18
62,ts_weekave_mexico_gulf_pc16
63,ts_weekave_pacific_ocean_pc19
64,ts_weekave_pacific_trop_pc17
65,ts_weekave_pacific_ocean_pc18
66,t_850_weekave_pacific_ocean_pc13
67,t_850_weekave_pacific_trop_pc20
68,ts_weekave_atlantic_ocean_pc19
69,h_850_weekave_atlantic_trop_pc20
70,slp_weekave_atlantic_trop_pc20
71,ts_weekave_atlantic_trop_pc19
72,ts_weekave_atlantic_ocean_pc16
73,ts_weekave_pacific_trop_pc19
74,ts_weekave_pacific_trop_pc14
75,ts_weekave_atlantic_trop_pc16
76,ts_weekave_pacific_ocean_pc16
77,ts_weekave_pacific_trop_pc7
78,ts_weekave_pacific_ocean_pc13
79,ts_weekave_atlantic_trop_pc10
80,ts_weekave_atlantic_trop_pc15
81,slp_weekave_atlantic_trop_pc16
82,t_850_weekave_atlantic_trop_pc16
83,h_500_weekave_atlantic_trop_pc11
84,t_500_weekave_atlantic_trop_pc11
85,t_500_weekave_atlantic_trop_pc14
86,h_500_weekave_atlantic_trop_pc18
87,h_850_weekave_atlantic_trop_pc17
87,slp_weekave_atlantic_trop_pc18
88,t_850_weekave_atlantic_trop_pc10
89,slp_weekave_atlantic_trop_pc15
90,h_850_weekave_atlantic_trop_pc16
91,slp_weekave_atlantic_trop_pc17
92,t_850_weekave_atlantic_trop_pc19
93,t_500_weekave_atlantic_trop_pc5
93,h_500_weekave_atlantic_trop_pc4
94,t_850_weekave_mexico_gulf_pc8
95,t_850_weekave_atlantic_trop_pc9
96,slp_weekave_atlantic_trop_pc11
97,t_850_weekave_atlantic_trop_pc15
98,ts_weekave_atlantic_trop_pc17
99,t_850_weekave_atlantic_trop_pc8
100,slp_weekave_atlantic_trop_pc10
101,t_850_weekave_atlantic_trop_pc12
102,h_850_weekave_atlantic_trop_pc13
103,h_850_weekave_atlantic_trop_pc11
103,slp_weekave_atlantic_trop_pc13
104,h_500_weekave_atlantic_trop_pc13
105,ts_weekave_atlantic_trop_pc13
106,h_850_weekave_atlantic_trop_pc10
106,slp_weekave_atlantic_trop_pc9
107,t_850_weekave_atlantic_trop_pc14
108,h_850_weekave_atlantic_trop_pc15
109,ts_weekave_atlantic_ocean_pc5
110,ts_weekave_atlantic_trop_pc5
111,ts_weekave_atlantic_trop_pc2
112,t_850_weekave_atlantic_trop_pc13
113,h_850_weekave_atlantic_trop_pc12
113,slp_weekave_atlantic_trop_pc8
114,t_850_weekave_atlantic_trop_pc6
115,SW_lag_3
116,SW_lag_4
117,SW_lag_5
118,SW_lag_1
119,SW_lag_2
120,ts_weekave_pacific_ocean_pc7
121,ts_weekave_atlantic_trop_pc18
122,ts_weekave_atlantic_ocean_pc20
123,ts_weekave_mexico_gulf_pc20
124,t_500_weekave_atlantic_ocean_pc9
125,t_850_weekave_atlantic_ocean_pc10
126,ts_weekave_atlantic_ocean_pc10
127,ts_weekave_arctic_pc13
128,ts_weekave_southern_canada_pc19
129,h_850_weekave_southern_canada_pc10
129,slp_weekave_southern_canada_pc10
130,slp_weekave_southern_canada_pc9
130,h_850_weekave_southern_canada_pc9
131,ts_weekave_southern_canada_pc10
131,h_500_weekave_southern_canada_pc9
131,t_850_weekave_southern_canada_pc9
131,t_500_weekave_southern_canada_pc9
132,slp_weekave_atlantic_ocean_pc13
132,h_500_weekave_atlantic_ocean_pc13
132,h_850_weekave_atlantic_ocean_pc13
133,t_500_weekave_atlantic_ocean_pc16
133,t_850_weekave_atlantic_ocean_pc12
134,t_500_weekave_atlantic_ocean_pc18
135,t_850_weekave_atlantic_ocean_pc19
136,slp_weekave_atlantic_ocean_pc16
136,h_500_weekave_atlantic_ocean_pc16
136,h_850_weekave_atlantic_ocean_pc16
137,t_500_weekave_atlantic_ocean_pc17
138,t_850_weekave_atlantic_ocean_pc18
139,t_850_weekave_atlantic_ocean_pc17
140,h_850_weekave_atlantic_ocean_pc20
140,slp_weekave_atlantic_ocean_pc20
141,t_500_weekave_atlantic_ocean_pc19
141,h_500_weekave_atlantic_ocean_pc20
142,h_850_weekave_atlantic_ocean_pc19
142,slp_weekave_atlantic_ocean_pc19
142,h_500_weekave_atlantic_ocean_pc19
143,t_850_weekave_atlantic_ocean_pc20
144,t_850_weekave_atlantic_ocean_pc16
145,t_500_weekave_atlantic_ocean_pc20
