Group,Mean_Importance,Std_Importance,Group_Size
450,0.09322231779967285,0.01978170518745598,11
454,0.052147222141833094,0.013050734903553539,10
377,0.014532969624523462,0.009037778108247504,6
459,0.013294990049493726,0.005870634742885525,8
404,0.010921727210839149,0.0053525031601902836,2
461,0.010481742361858837,0.0033456540097285205,5
353,0.009381867490313,0.006831858516992408,4
452,0.008071533757562,0.0071853176542401335,7
38,0.007124803829774739,0.002688811086841117,1
504,0.0060068494715666,0.002498861124433273,4
196,0.005981029482988331,0.003540615254474234,3
265,0.005932346288297996,0.0033425122572730325,3
363,0.005929637488190131,0.0025328927609200415,1
313,0.00552007915231143,0.0029778121142836024,2
526,0.005489934567307486,0.0023222862480508396,1
386,0.005233179068500693,0.009462989646816376,7
4,0.004761160240553819,0.0012744882690358134,1
192,0.00434913115513127,0.0015839323385928377,2
457,0.0042662032741727085,0.0029098803786184835,4
225,0.004202310535256526,0.0018932154481191873,2
356,0.004007214868263764,0.0030482176756640223,3
237,0.0040038207972783015,0.0011709253395435484,1
57,0.003993501497107354,0.0021447093131589374,1
446,0.003970439526791658,0.004435250073574561,5
230,0.003943657611927653,0.0023605571604591543,1
49,0.00382375132398729,0.0032156000923723614,1
366,0.003777163545413309,0.0023728767839770897,2
432,0.0037589914557051517,0.002715074831044697,4
380,0.003724778075183899,0.002385365415258407,3
257,0.0036502129356807966,0.0016008531114756071,2
418,0.0036120567506571443,0.0032013052022090865,2
344,0.003509634475828616,0.001450876037522568,1
42,0.0034999410646284535,0.0011405426022545212,1
528,0.003493514583264101,0.002220525012566888,1
272,0.0034651892037552033,0.0018484395788219234,2
178,0.00345016360694097,0.002856883374450711,2
368,0.0034263239187354967,0.0028477132000264836,5
518,0.003142681876122122,0.0012114761221531424,1
199,0.003134960490201166,0.003193231046709597,2
206,0.0031035793160024915,0.0027334494963455374,3
173,0.003079684367288493,0.0035939065215183598,1
400,0.003066969915269002,0.0013731190778874635,1
357,0.0030144781905158792,0.002558442473004427,3
383,0.0029936028140540305,0.00455866354238266,6
360,0.0029607154915786806,0.0015163078304429203,2
