Group,Mean_Importance,Std_Importance,Group_Size
308,0.03423344601657998,0.005002569417967275,3
232,0.02776525225031694,0.007189061980133376,1
198,0.025536958285380783,0.007050317251103439,2
466,0.025255374978940724,0.00811213465916593,3
274,0.024321750872706625,0.009098452502867817,1
362,0.02287915405740355,0.0075828575888089375,1
332,0.01848550053447111,0.01086086599408725,6
352,0.018338347139360157,0.007761467937572927,4
299,0.017017677890187776,0.010590427960507789,3
301,0.01639541282340584,0.006256366313270026,5
307,0.015594473752279469,0.011086677210774424,6
334,0.015562807887591745,0.0069890027791849,4
401,0.015073795493036534,0.007112532208749352,7
448,0.014323117679654995,0.014518077460526385,4
354,0.013756243012149571,0.005554291789862936,3
393,0.013191102518212894,0.005621896412948615,3
431,0.013090877546303847,0.00637627570281518,3
392,0.012980382962297999,0.004851819803968477,2
527,0.012878776525876035,0.0054750349047892515,1
286,0.012671030981024423,0.010717140061985556,6
408,0.012558097007582258,0.007504659834638318,4
231,0.01241156026415977,0.005542234906604305,2
370,0.012350617415353237,0.005492352236096392,2
360,0.012331743148450869,0.007915248667021344,2
345,0.011826978575254188,0.009376219535333425,6
404,0.01180660239001403,0.008099062693431306,7
196,0.011713195317565006,0.0067819972980601734,2
276,0.011637403990168238,0.007019426030533049,1
523,0.011430774411893819,0.004945811271327348,2
483,0.011337398723649094,0.0060218242343343074,2
433,0.010830446624040313,0.007900276511126045,7
440,0.010559997272190457,0.0046639769448100134,2
493,0.010253787619330624,0.010864283635351074,2
2,0.010099601064140984,0.009268635956395693,1
179,0.009923491355231472,0.004468403161974347,1
379,0.00983483253933617,0.005702974837998363,2
418,0.009727195651352449,0.006677457778634564,2
462,0.009191432096471174,0.006895620075470893,3
319,0.009182766119018027,0.006986281064623943,3
34,0.00895612305244935,0.00609838976424673,1
273,0.008820467044812208,0.005548977241325028,3
90,0.008572488278584256,0.005018023370923401,1
218,0.008453255631630619,0.004470135125801667,2
215,0.008399047253074787,0.006853300592265464,1
19,0.008263756297669822,0.005975451770776792,1
125,0.008158282963504692,0.004929191369859484,1
55,0.008037698073697275,0.007172136299949911,1
313,0.007860172345414983,0.0066181245987561,4
41,0.007812843196906982,0.004626273390690726,1
287,0.007798901072117825,0.009833293575653552,6
305,0.007723503367325968,0.007673466531927801,1
534,0.007657830746171523,0.003443688248775118,2
297,0.007598838767875637,0.008144215017920007,6
173,0.00758060805800298,0.002189752798387146,1
372,0.007544785736562342,0.004485075754176466,2
108,0.007424306224686106,0.004648673872629022,1
46,0.007415140083717464,0.004824114198619509,1
420,0.007215279449112266,0.006141609866783599,2
411,0.007193010263146338,0.005482420860963252,5
545,0.0070460796364018915,0.004963892938990495,1
300,0.006991062978074236,0.003909798767643164,2
280,0.006894360999437144,0.006052924676365921,3
458,0.006846993405678958,0.007277600873851079,2
461,0.0068302148309866695,0.005935124843962291,2
181,0.006816944167339134,0.011417747095452522,2
245,0.006755200188519517,0.009674250384296102,3
233,0.00674622118034236,0.00556803080107128,2
485,0.006705217908376149,0.005407957433504549,2
459,0.006689298580904346,0.007587836001681715,2
406,0.006672372207286869,0.006261164511963234,2
30,0.006572030752284253,0.0029802048739773425,1
8,0.006352192499903442,0.0033478837557591196,1
515,0.006319785827881752,0.0031371387038609103,2
525,0.0062979927938278555,0.004777975356651199,3
21,0.00617752974107848,0.004807037362718986,1
262,0.00614091820648186,0.009249011729576947,4
502,0.005924285109297589,0.010371857573555219,1
358,0.005734856452475778,0.010373619057595759,4
554,0.005730272136416126,0.005161431922246323,3
385,0.005660653335438237,0.006141444388140443,2
