Group,Feature
121,h_500_weekave_atlantic_ocean_pc11
122,h_850_weekave_atlantic_trop_pc7
122,slp_weekave_atlantic_trop_pc6
123,h_500_weekave_atlantic_trop_pc17
124,t_500_weekave_atlantic_ocean_pc12
125,t_850_weekave_atlantic_ocean_pc14
126,h_850_weekave_atlantic_ocean_pc12
126,h_500_weekave_atlantic_ocean_pc12
126,slp_weekave_atlantic_ocean_pc12
127,t_500_weekave_atlantic_trop_pc6
127,h_500_weekave_atlantic_trop_pc6
128,slp_weekave_atlantic_trop_pc14
128,h_850_weekave_atlantic_trop_pc14
129,t_850_weekave_atlantic_trop_pc20
130,slp_weekave_southern_canada_pc10
130,h_850_weekave_southern_canada_pc10
131,h_850_weekave_southern_canada_pc9
131,slp_weekave_southern_canada_pc9
132,h_500_weekave_southern_canada_pc9
132,t_500_weekave_southern_canada_pc9
132,t_850_weekave_southern_canada_pc9
132,ts_weekave_southern_canada_pc10
133,h_850_weekave_atlantic_ocean_pc13
133,slp_weekave_atlantic_ocean_pc13
133,h_500_weekave_atlantic_ocean_pc13
134,t_850_weekave_atlantic_ocean_pc12
134,t_500_weekave_atlantic_ocean_pc16
135,t_500_weekave_atlantic_ocean_pc18
136,t_850_weekave_atlantic_ocean_pc19
137,h_850_weekave_atlantic_ocean_pc16
137,h_500_weekave_atlantic_ocean_pc16
137,slp_weekave_atlantic_ocean_pc16
138,t_500_weekave_atlantic_ocean_pc17
139,t_850_weekave_atlantic_ocean_pc18
140,t_850_weekave_atlantic_ocean_pc17
141,slp_weekave_atlantic_ocean_pc20
141,h_850_weekave_atlantic_ocean_pc20
142,h_500_weekave_atlantic_ocean_pc20
142,t_500_weekave_atlantic_ocean_pc19
143,h_850_weekave_atlantic_ocean_pc19
143,slp_weekave_atlantic_ocean_pc19
143,h_500_weekave_atlantic_ocean_pc19
144,t_850_weekave_atlantic_ocean_pc20
145,t_850_weekave_atlantic_ocean_pc16
146,t_500_weekave_atlantic_ocean_pc20
147,h_850_weekave_atlantic_ocean_pc18
147,h_500_weekave_atlantic_ocean_pc17
147,slp_weekave_atlantic_ocean_pc18
148,h_500_weekave_atlantic_ocean_pc18
148,slp_weekave_atlantic_ocean_pc17
148,h_850_weekave_atlantic_ocean_pc17
149,t_500_weekave_southern_canada_pc16
149,h_500_weekave_southern_canada_pc16
150,t_850_weekave_southern_canada_pc17
151,ts_weekave_atlantic_ocean_pc8
152,ts_weekave_southern_canada_pc20
153,slp_weekave_southern_canada_pc20
153,h_850_weekave_southern_canada_pc19
154,slp_weekave_southern_canada_pc19
154,h_850_weekave_southern_canada_pc20
155,t_500_weekave_southern_canada_pc18
155,h_500_weekave_southern_canada_pc18
156,t_850_weekave_southern_canada_pc18
157,t_500_weekave_southern_canada_pc19
157,h_500_weekave_southern_canada_pc19
158,t_500_weekave_conus_pc17
158,h_500_weekave_conus_pc16
159,slp_weekave_southern_canada_pc17
159,h_850_weekave_southern_canada_pc16
160,slp_weekave_southern_canada_pc14
161,h_850_weekave_southern_canada_pc17
162,ts_weekave_southern_canada_pc15
162,t_850_weekave_southern_canada_pc13
163,ts_weekave_southern_canada_pc18
164,h_850_weekave_southern_canada_pc15
164,slp_weekave_southern_canada_pc15
165,slp_weekave_conus_pc13
166,h_500_weekave_southern_canada_pc14
166,t_500_weekave_southern_canada_pc13
167,t_850_weekave_southern_canada_pc15
168,slp_weekave_southern_canada_pc13
168,h_850_weekave_southern_canada_pc13
169,h_500_weekave_southern_canada_pc13
169,t_500_weekave_southern_canada_pc14
170,t_850_weekave_southern_canada_pc14
171,t_850_weekave_southern_canada_pc12
171,t_500_weekave_southern_canada_pc12
171,h_500_weekave_southern_canada_pc12
172,ts_weekave_southern_canada_pc13
173,h_850_weekave_southern_canada_pc12
173,slp_weekave_southern_canada_pc12
174,ts_weekave_southern_canada_pc12
175,h_500_weekave_conus_pc20
176,t_850_weekave_conus_pc13
176,ts_weekave_conus_pc16
177,t_850_weekave_southern_canada_pc19
178,slp_weekave_southern_canada_pc18
178,h_850_weekave_southern_canada_pc18
179,t_500_weekave_southern_canada_pc17
179,h_500_weekave_southern_canada_pc17
180,slp_weekave_mexico_gulf_pc14
180,h_850_weekave_mexico_gulf_pc11
181,t_500_weekave_mexico_gulf_pc9
182,h_500_weekave_mexico_gulf_pc10
183,t_850_weekave_mexico_gulf_pc13
184,h_850_weekave_mexico_gulf_pc16
185,t_850_weekave_mexico_gulf_pc10
186,ts_weekave_mexico_gulf_pc15
187,t_500_weekave_mexico_gulf_pc12
188,h_500_weekave_mexico_gulf_pc13
189,ts_weekave_mexico_gulf_pc11
190,slp_weekave_mexico_gulf_pc13
191,ts_weekave_mexico_gulf_pc12
192,t_850_weekave_mexico_gulf_pc14
193,h_850_weekave_mexico_gulf_pc14
193,slp_weekave_mexico_gulf_pc19
194,h_500_weekave_mexico_gulf_pc17
195,t_500_weekave_mexico_gulf_pc17
196,h_850_weekave_mexico_gulf_pc13
197,slp_weekave_mexico_gulf_pc16
198,t_850_weekave_mexico_gulf_pc12
199,h_850_weekave_mexico_gulf_pc12
199,slp_weekave_mexico_gulf_pc15
200,h_500_weekave_mexico_gulf_pc14
201,ts_weekave_mexico_gulf_pc9
202,t_850_weekave_mexico_gulf_pc18
203,ts_weekave_mexico_gulf_pc10
204,t_850_weekave_mexico_gulf_pc15
205,t_850_weekave_mexico_gulf_pc7
205,slp_weekave_mexico_gulf_pc10
206,t_850_weekave_conus_pc20
207,t_850_weekave_conus_pc19
208,ts_weekave_conus_pc20
209,h_500_weekave_conus_pc19
209,t_500_weekave_conus_pc19
210,h_850_weekave_conus_pc20
211,slp_weekave_conus_pc20
212,h_500_weekave_conus_pc17
212,t_500_weekave_conus_pc15
213,t_500_weekave_conus_pc16
213,h_500_weekave_conus_pc15
214,h_850_weekave_mexico_gulf_pc10
214,slp_weekave_mexico_gulf_pc12
215,h_500_weekave_mexico_gulf_pc11
216,t_500_weekave_mexico_gulf_pc10
217,ts_weekave_southern_canada_pc7
218,ts_weekave_conus_pc15
219,ts_weekave_atlantic_ocean_pc14
220,slp_weekave_conus_pc17
221,h_850_weekave_conus_pc19
222,t_850_weekave_conus_pc18
223,t_850_weekave_southern_canada_pc20
224,t_500_weekave_conus_pc18
224,h_500_weekave_conus_pc18
225,t_850_weekave_conus_pc17
226,ts_weekave_conus_pc17
226,t_850_weekave_conus_pc16
227,h_850_weekave_conus_pc16
228,slp_weekave_conus_pc16
229,t_850_weekave_mexico_gulf_pc11
230,t_850_weekave_conus_pc14
231,h_850_weekave_conus_pc17
231,slp_weekave_conus_pc19
232,t_850_weekave_conus_pc15
233,ts_weekave_conus_pc19
234,t_500_weekave_conus_pc14
234,h_500_weekave_conus_pc14
235,h_850_weekave_conus_pc15
235,slp_weekave_conus_pc18
236,t_500_weekave_mexico_gulf_pc7
236,h_500_weekave_mexico_gulf_pc8
237,t_500_weekave_conus_pc10
237,h_500_weekave_conus_pc10
238,slp_weekave_conus_pc10
238,h_850_weekave_conus_pc10
239,h_850_weekave_mexico_gulf_pc8
239,slp_weekave_mexico_gulf_pc11
240,h_500_weekave_mexico_gulf_pc9
241,h_850_weekave_mexico_gulf_pc9
242,slp_weekave_mexico_gulf_pc8
242,h_850_weekave_mexico_gulf_pc7
243,t_850_weekave_mexico_gulf_pc6
243,h_500_weekave_mexico_gulf_pc6
244,t_850_weekave_mexico_gulf_pc5
244,ts_weekave_mexico_gulf_pc7
245,h_500_weekave_mexico_gulf_pc5
245,t_500_weekave_mexico_gulf_pc6
246,ts_weekave_mexico_gulf_pc5
246,slp_weekave_mexico_gulf_pc6
247,t_850_weekave_mexico_gulf_pc16
248,t_500_weekave_mexico_gulf_pc13
249,t_500_weekave_southern_canada_pc20
249,h_500_weekave_southern_canada_pc20
250,t_500_weekave_conus_pc12
250,h_500_weekave_conus_pc11
251,ts_weekave_conus_pc14
251,t_850_weekave_conus_pc11
252,slp_weekave_conus_pc12
252,h_850_weekave_conus_pc11
253,h_500_weekave_conus_pc12
253,t_500_weekave_conus_pc11
254,t_850_weekave_conus_pc10
254,ts_weekave_conus_pc11
255,h_500_weekave_conus_pc13
255,t_500_weekave_conus_pc13
256,h_850_weekave_conus_pc12
256,slp_weekave_conus_pc14
257,h_850_weekave_conus_pc13
257,slp_weekave_conus_pc15
258,ts_weekave_conus_pc13
258,t_850_weekave_conus_pc12
259,h_850_weekave_conus_pc18
260,slp_weekave_arctic_pc17
260,h_850_weekave_arctic_pc17
261,h_850_weekave_arctic_pc18
261,slp_weekave_arctic_pc18
262,t_500_weekave_arctic_pc19
262,t_850_weekave_arctic_pc18
262,h_500_weekave_arctic_pc19
263,ts_weekave_arctic_pc19
264,slp_weekave_arctic_pc20
264,t_500_weekave_arctic_pc20
264,h_500_weekave_arctic_pc20
264,t_850_weekave_arctic_pc17
264,h_850_weekave_arctic_pc20
265,ts_weekave_arctic_pc17
266,t_500_weekave_arctic_pc17
266,h_500_weekave_arctic_pc18
267,t_850_weekave_arctic_pc19
267,h_850_weekave_arctic_pc19
267,slp_weekave_arctic_pc19
268,h_850_weekave_arctic_pc16
268,slp_weekave_arctic_pc16
269,t_850_weekave_arctic_pc16
269,t_500_weekave_arctic_pc18
269,h_500_weekave_arctic_pc17
270,t_850_weekave_arctic_pc20
270,t_500_weekave_arctic_pc16
270,h_500_weekave_arctic_pc16
271,ts_weekave_arctic_pc20
272,slp_weekave_pacific_ocean_pc5
272,h_850_weekave_pacific_ocean_pc5
272,t_850_weekave_pacific_ocean_pc4
272,h_500_weekave_pacific_ocean_pc5
272,t_500_weekave_pacific_ocean_pc5
273,ts_weekave_arctic_pc10
273,h_850_weekave_arctic_pc8
273,h_500_weekave_arctic_pc9
273,t_850_weekave_arctic_pc9
273,h_500_weekave_arctic_pc10
273,t_500_weekave_arctic_pc9
273,slp_weekave_arctic_pc8
274,h_850_weekave_east_asia_pc4
274,h_500_weekave_east_asia_pc4
274,t_850_weekave_east_asia_pc5
274,t_500_weekave_east_asia_pc5
274,slp_weekave_east_asia_pc5
274,ts_weekave_east_asia_pc7
275,ts_weekave_arctic_pc5
275,slp_weekave_arctic_pc6
275,h_850_weekave_arctic_pc6
275,t_850_weekave_arctic_pc5
275,t_500_weekave_arctic_pc5
275,h_500_weekave_arctic_pc6
276,ts_weekave_arctic_pc6
277,t_850_weekave_arctic_pc6
277,ts_weekave_arctic_pc7
277,t_500_weekave_arctic_pc7
278,ts_weekave_east_asia_pc6
278,t_500_weekave_east_asia_pc11
279,slp_weekave_arctic_pc12
279,t_500_weekave_arctic_pc13
279,t_850_weekave_arctic_pc13
279,h_500_weekave_arctic_pc14
279,h_850_weekave_arctic_pc12
280,ts_weekave_arctic_pc14
281,h_850_weekave_pacific_trop_pc5
281,slp_weekave_pacific_trop_pc4
281,ts_weekave_pacific_trop_pc5
282,t_850_weekave_pacific_ocean_pc3
282,slp_weekave_pacific_ocean_pc2
282,h_850_weekave_pacific_ocean_pc2
282,h_500_weekave_pacific_ocean_pc3
282,t_500_weekave_pacific_ocean_pc3
283,ts_weekave_pacific_ocean_pc3
284,t_500_weekave_east_asia_pc3
284,t_850_weekave_east_asia_pc3
284,ts_weekave_east_asia_pc4
285,h_500_weekave_east_asia_pc3
285,slp_weekave_arctic_pc4
285,h_850_weekave_arctic_pc4
285,h_850_weekave_east_asia_pc3
