Region,Horizon,Feature,Importance
W,1,ts_weekave_arctic_pc1,-0.0018341949762735806
W,1,ts_weekave_atlantic_ocean_pc1,-0.0008710399035715947
W,1,ts_weekave_atlantic_trop_pc1,-0.0003520113436532727
W,1,ts_weekave_conus_pc1,0.00046149218597163846
W,1,ts_weekave_east_asia_pc1,-0.0007772245647319191
W,1,ts_weekave_mexico_gulf_pc1,-0.0003887577633239658
W,1,ts_weekave_pacific_ocean_pc1,0.001263083116241622
W,1,ts_weekave_pacific_trop_pc1,0.0013849078675941466
W,1,ts_weekave_southern_canada_pc1,-0.0033711040870246715
W,1,h_500_weekave_arctic_pc2,-0.006990575413327141
W,1,h_500_weekave_atlantic_ocean_pc2,0.000732626958270129
W,1,h_500_weekave_atlantic_trop_pc2,-0.004951431890695623
W,1,h_500_weekave_conus_pc2,0.0026674067973251484
W,1,h_500_weekave_east_asia_pc2,-0.001174111528102036
W,1,h_500_weekave_mexico_gulf_pc2,0.004805610522411937
W,1,h_500_weekave_pacific_ocean_pc2,-0.007554034409276748
W,1,h_500_weekave_pacific_trop_pc2,0.0013171520463335362
W,1,h_500_weekave_southern_canada_pc2,-0.001603923000130377
W,1,h_850_weekave_arctic_pc2,0.015926611297632547
W,1,h_850_weekave_atlantic_ocean_pc2,0.001383654162439966
W,1,h_850_weekave_atlantic_trop_pc2,-0.0001360904335214741
W,1,h_850_weekave_conus_pc2,0.005808326142725395
W,1,h_850_weekave_east_asia_pc2,0.004927396505789172
W,1,h_850_weekave_mexico_gulf_pc2,-0.0009124013367499314
W,1,h_850_weekave_pacific_ocean_pc2,0.07034644615876602
W,1,h_850_weekave_pacific_trop_pc2,-0.0015778902183518776
W,1,h_850_weekave_southern_canada_pc2,-0.0017358104300166488
W,1,slp_weekave_arctic_pc2,0.00517814195009878
W,1,slp_weekave_atlantic_ocean_pc2,-0.0009009563880959822
W,1,slp_weekave_atlantic_trop_pc2,0.0009879591993994315
W,1,slp_weekave_conus_pc2,-0.0016435264401848985
W,1,slp_weekave_east_asia_pc2,0.006117927712949811
W,1,slp_weekave_mexico_gulf_pc2,0.0017461927944334061
W,1,slp_weekave_pacific_ocean_pc2,0.023069774888869698
W,1,slp_weekave_pacific_trop_pc2,-0.0015864535164215414
W,1,slp_weekave_southern_canada_pc2,-0.0006059974152117972
W,1,t_500_weekave_arctic_pc2,-0.005261165997251075
W,1,t_500_weekave_atlantic_ocean_pc2,0.0025500759283638113
W,1,t_500_weekave_atlantic_trop_pc2,0.0007810734207730263
W,1,t_500_weekave_conus_pc2,-0.0058688852962926145
W,1,t_500_weekave_east_asia_pc2,-0.00410553580225083
