Group,Feature
1,t_500_weekave_atlantic_trop_pc20
2,ts_weekave_atlantic_trop_pc20
3,t_500_weekave_atlantic_trop_pc16
3,h_500_weekave_atlantic_trop_pc15
4,t_500_weekave_mexico_gulf_pc5
5,h_500_weekave_mexico_gulf_pc12
6,h_500_weekave_atlantic_trop_pc20
7,t_500_weekave_atlantic_trop_pc19
8,h_500_weekave_atlantic_trop_pc14
9,t_500_weekave_atlantic_trop_pc18
10,t_500_weekave_atlantic_trop_pc15
11,t_500_weekave_atlantic_trop_pc8
12,t_500_weekave_atlantic_ocean_pc9
13,t_850_weekave_atlantic_ocean_pc10
14,ts_weekave_atlantic_ocean_pc10
15,ts_weekave_arctic_pc13
16,ts_weekave_southern_canada_pc19
17,ts_weekave_atlantic_trop_pc18
18,ts_weekave_atlantic_ocean_pc20
19,ts_weekave_mexico_gulf_pc20
20,ts_weekave_pacific_ocean_pc7
21,ts_weekave_pacific_ocean_pc20
22,ts_weekave_pacific_trop_pc20
23,ts_weekave_atlantic_ocean_pc12
24,ts_weekave_mexico_gulf_pc17
25,ts_weekave_atlantic_trop_pc7
26,ts_weekave_pacific_ocean_pc11
27,ts_weekave_atlantic_ocean_pc5
28,ts_weekave_atlantic_trop_pc5
29,ts_weekave_pacific_ocean_pc8
30,ts_weekave_atlantic_ocean_pc15
31,ts_weekave_pacific_trop_pc10
32,ts_weekave_mexico_gulf_pc13
33,ts_weekave_pacific_trop_pc16
34,ts_weekave_atlantic_ocean_pc17
35,ts_weekave_pacific_trop_pc11
36,ts_weekave_pacific_ocean_pc17
37,ts_weekave_mexico_gulf_pc14
38,t_850_weekave_mexico_gulf_pc17
39,ts_weekave_pacific_trop_pc8
40,ts_weekave_atlantic_ocean_pc18
41,ts_weekave_atlantic_trop_pc12
42,ts_weekave_mexico_gulf_pc16
43,ts_weekave_pacific_ocean_pc19
44,ts_weekave_pacific_ocean_pc12
45,ts_weekave_pacific_trop_pc13
46,ts_weekave_atlantic_ocean_pc9
47,ts_weekave_atlantic_trop_pc14
48,NE_lag_1
49,NE_lag_2
50,ts_weekave_atlantic_ocean_pc7
51,NE_lag_3
52,NE_lag_4
53,NE_lag_5
54,ts_weekave_atlantic_ocean_pc6
55,ts_weekave_pacific_trop_pc12
56,ts_weekave_pacific_ocean_pc14
57,ts_weekave_atlantic_ocean_pc19
58,slp_weekave_atlantic_ocean_pc20
58,h_850_weekave_atlantic_ocean_pc20
59,t_500_weekave_atlantic_trop_pc12
60,h_500_weekave_atlantic_trop_pc9
60,t_500_weekave_atlantic_trop_pc10
61,t_500_weekave_atlantic_trop_pc9
62,t_500_weekave_atlantic_ocean_pc13
62,t_850_weekave_atlantic_ocean_pc13
63,h_850_weekave_atlantic_trop_pc9
63,slp_weekave_atlantic_trop_pc7
64,t_850_weekave_atlantic_trop_pc7
65,t_850_weekave_atlantic_ocean_pc15
65,t_500_weekave_atlantic_ocean_pc14
66,h_500_weekave_atlantic_ocean_pc15
66,h_850_weekave_atlantic_ocean_pc15
66,slp_weekave_atlantic_ocean_pc15
67,h_850_weekave_atlantic_ocean_pc14
67,slp_weekave_atlantic_ocean_pc14
67,h_500_weekave_atlantic_ocean_pc14
68,t_500_weekave_atlantic_ocean_pc15
69,slp_weekave_atlantic_ocean_pc11
69,t_500_weekave_atlantic_ocean_pc11
69,h_500_weekave_atlantic_ocean_pc11
69,h_850_weekave_atlantic_ocean_pc11
69,t_850_weekave_atlantic_ocean_pc11
70,slp_weekave_atlantic_trop_pc6
70,h_850_weekave_atlantic_trop_pc7
71,h_500_weekave_atlantic_trop_pc17
72,t_500_weekave_atlantic_ocean_pc12
73,t_850_weekave_atlantic_ocean_pc14
74,h_500_weekave_atlantic_ocean_pc12
74,h_850_weekave_atlantic_ocean_pc12
74,slp_weekave_atlantic_ocean_pc12
75,t_500_weekave_atlantic_trop_pc6
75,h_500_weekave_atlantic_trop_pc6
76,slp_weekave_atlantic_trop_pc14
76,h_850_weekave_atlantic_trop_pc14
77,t_850_weekave_atlantic_trop_pc20
78,t_500_weekave_atlantic_ocean_pc18
79,t_850_weekave_atlantic_ocean_pc19
80,h_850_weekave_atlantic_ocean_pc16
80,slp_weekave_atlantic_ocean_pc16
80,h_500_weekave_atlantic_ocean_pc16
81,t_500_weekave_atlantic_ocean_pc17
82,t_850_weekave_atlantic_ocean_pc18
83,t_850_weekave_atlantic_ocean_pc17
84,t_500_weekave_atlantic_ocean_pc19
84,h_500_weekave_atlantic_ocean_pc20
85,h_500_weekave_atlantic_ocean_pc19
85,slp_weekave_atlantic_ocean_pc19
85,h_850_weekave_atlantic_ocean_pc19
86,t_850_weekave_atlantic_ocean_pc20
87,t_850_weekave_atlantic_ocean_pc16
88,t_500_weekave_atlantic_ocean_pc20
89,slp_weekave_atlantic_ocean_pc18
89,h_500_weekave_atlantic_ocean_pc17
89,h_850_weekave_atlantic_ocean_pc18
90,h_850_weekave_atlantic_ocean_pc17
90,h_500_weekave_atlantic_ocean_pc18
90,slp_weekave_atlantic_ocean_pc17
91,h_500_weekave_atlantic_trop_pc11
92,t_500_weekave_atlantic_trop_pc11
93,t_500_weekave_atlantic_trop_pc14
94,h_500_weekave_atlantic_trop_pc18
95,slp_weekave_atlantic_trop_pc11
96,t_850_weekave_atlantic_trop_pc15
97,ts_weekave_atlantic_trop_pc17
98,t_850_weekave_atlantic_trop_pc8
99,slp_weekave_atlantic_trop_pc10
100,t_850_weekave_atlantic_trop_pc12
101,h_850_weekave_atlantic_trop_pc13
102,h_850_weekave_atlantic_trop_pc17
102,slp_weekave_atlantic_trop_pc18
103,t_850_weekave_atlantic_trop_pc10
104,slp_weekave_atlantic_trop_pc15
105,h_850_weekave_atlantic_trop_pc16
106,slp_weekave_atlantic_trop_pc17
107,t_850_weekave_atlantic_trop_pc19
108,h_500_weekave_atlantic_trop_pc4
108,t_500_weekave_atlantic_trop_pc5
109,t_850_weekave_mexico_gulf_pc8
110,t_850_weekave_atlantic_trop_pc9
111,ts_weekave_atlantic_trop_pc2
112,t_850_weekave_atlantic_trop_pc13
113,slp_weekave_atlantic_trop_pc8
113,h_850_weekave_atlantic_trop_pc12
114,t_850_weekave_atlantic_trop_pc6
115,h_850_weekave_atlantic_trop_pc11
115,slp_weekave_atlantic_trop_pc13
116,h_500_weekave_atlantic_trop_pc13
117,ts_weekave_atlantic_trop_pc13
118,slp_weekave_atlantic_trop_pc9
118,h_850_weekave_atlantic_trop_pc10
119,t_850_weekave_atlantic_trop_pc14
120,h_850_weekave_atlantic_trop_pc15
121,h_850_weekave_atlantic_ocean_pc8
121,h_500_weekave_atlantic_ocean_pc8
121,slp_weekave_atlantic_ocean_pc8
121,t_850_weekave_atlantic_ocean_pc9
122,h_850_weekave_atlantic_trop_pc2
122,slp_weekave_atlantic_trop_pc2
122,t_850_weekave_atlantic_trop_pc5
123,h_500_weekave_atlantic_trop_pc10
124,h_500_weekave_atlantic_trop_pc3
124,t_500_weekave_atlantic_trop_pc3
125,h_850_weekave_atlantic_trop_pc5
