Group,Feature
1,t_500_weekave_atlantic_trop_pc20
2,ts_weekave_atlantic_trop_pc20
3,SW_lag_4
4,SW_lag_5
5,SW_lag_3
6,SW_lag_1
7,SW_lag_2
8,ts_weekave_pacific_ocean_pc7
9,t_500_weekave_pacific_trop_pc15
10,h_500_weekave_pacific_trop_pc18
11,h_500_weekave_pacific_trop_pc17
11,t_500_weekave_pacific_trop_pc18
12,slp_weekave_pacific_trop_pc20
12,h_850_weekave_pacific_trop_pc20
13,slp_weekave_pacific_trop_pc19
13,h_850_weekave_pacific_trop_pc19
14,t_500_weekave_atlantic_trop_pc16
14,h_500_weekave_atlantic_trop_pc15
15,t_500_weekave_mexico_gulf_pc5
16,h_500_weekave_mexico_gulf_pc12
17,h_500_weekave_atlantic_trop_pc20
18,t_500_weekave_atlantic_trop_pc19
19,h_500_weekave_atlantic_trop_pc14
20,t_500_weekave_atlantic_trop_pc18
21,t_500_weekave_atlantic_trop_pc15
22,t_500_weekave_atlantic_trop_pc8
23,h_500_weekave_mexico_gulf_pc20
24,t_500_weekave_mexico_gulf_pc20
25,h_850_weekave_mexico_gulf_pc19
26,h_500_weekave_mexico_gulf_pc15
27,t_500_weekave_mexico_gulf_pc18
28,t_500_weekave_conus_pc20
29,t_500_weekave_mexico_gulf_pc14
30,ts_weekave_atlantic_ocean_pc7
31,t_850_weekave_mexico_gulf_pc20
32,h_850_weekave_mexico_gulf_pc15
32,slp_weekave_mexico_gulf_pc17
33,h_850_weekave_mexico_gulf_pc18
33,slp_weekave_mexico_gulf_pc20
34,h_500_weekave_mexico_gulf_pc19
35,t_500_weekave_mexico_gulf_pc15
36,h_500_weekave_mexico_gulf_pc16
37,h_850_weekave_mexico_gulf_pc17
38,ts_weekave_pacific_trop_pc10
39,ts_weekave_mexico_gulf_pc13
40,t_500_weekave_mexico_gulf_pc11
41,h_500_weekave_mexico_gulf_pc18
42,slp_weekave_mexico_gulf_pc18
43,h_850_weekave_mexico_gulf_pc20
44,ts_weekave_mexico_gulf_pc19
45,t_500_weekave_mexico_gulf_pc19
46,ts_weekave_atlantic_ocean_pc16
47,ts_weekave_pacific_trop_pc19
48,ts_weekave_pacific_trop_pc14
49,ts_weekave_atlantic_trop_pc16
50,ts_weekave_pacific_ocean_pc16
51,ts_weekave_atlantic_ocean_pc5
52,ts_weekave_atlantic_trop_pc5
53,ts_weekave_pacific_ocean_pc8
54,ts_weekave_atlantic_ocean_pc15
55,t_500_weekave_atlantic_trop_pc13
56,ts_weekave_arctic_pc18
57,ts_weekave_mexico_gulf_pc16
58,ts_weekave_pacific_ocean_pc19
59,ts_weekave_pacific_trop_pc17
60,ts_weekave_pacific_ocean_pc18
61,t_850_weekave_pacific_ocean_pc13
62,t_850_weekave_pacific_trop_pc20
63,ts_weekave_atlantic_ocean_pc19
64,ts_weekave_pacific_ocean_pc12
65,ts_weekave_pacific_trop_pc13
66,ts_weekave_atlantic_ocean_pc9
67,ts_weekave_atlantic_trop_pc14
68,ts_weekave_pacific_ocean_pc20
69,ts_weekave_pacific_trop_pc20
70,ts_weekave_pacific_trop_pc16
71,ts_weekave_atlantic_ocean_pc17
72,ts_weekave_pacific_trop_pc12
73,ts_weekave_pacific_ocean_pc14
74,ts_weekave_atlantic_ocean_pc6
75,ts_weekave_pacific_trop_pc11
76,ts_weekave_pacific_ocean_pc17
77,ts_weekave_mexico_gulf_pc14
78,t_850_weekave_mexico_gulf_pc17
79,ts_weekave_pacific_trop_pc8
80,ts_weekave_atlantic_ocean_pc18
81,ts_weekave_atlantic_trop_pc12
82,ts_weekave_pacific_trop_pc7
83,ts_weekave_pacific_ocean_pc13
84,ts_weekave_atlantic_trop_pc10
85,ts_weekave_atlantic_trop_pc15
86,slp_weekave_atlantic_trop_pc16
87,t_850_weekave_atlantic_trop_pc16
88,slp_weekave_southern_canada_pc20
88,h_850_weekave_southern_canada_pc19
89,h_850_weekave_southern_canada_pc20
89,slp_weekave_southern_canada_pc19
90,t_500_weekave_southern_canada_pc18
90,h_500_weekave_southern_canada_pc18
91,t_850_weekave_southern_canada_pc18
92,h_500_weekave_southern_canada_pc19
92,t_500_weekave_southern_canada_pc19
93,t_500_weekave_conus_pc17
93,h_500_weekave_conus_pc16
94,h_850_weekave_east_asia_pc15
94,slp_weekave_east_asia_pc19
95,h_500_weekave_east_asia_pc15
95,t_850_weekave_east_asia_pc17
96,ts_weekave_east_asia_pc17
97,t_500_weekave_east_asia_pc18
97,h_500_weekave_east_asia_pc19
98,h_850_weekave_east_asia_pc14
98,h_500_weekave_east_asia_pc16
99,t_850_weekave_east_asia_pc16
99,ts_weekave_east_asia_pc15
100,t_500_weekave_east_asia_pc20
100,h_500_weekave_east_asia_pc20
100,t_850_weekave_east_asia_pc19
101,ts_weekave_east_asia_pc18
102,t_850_weekave_east_asia_pc20
103,h_500_weekave_east_asia_pc17
103,h_850_weekave_east_asia_pc17
104,t_850_weekave_east_asia_pc18
104,h_500_weekave_east_asia_pc18
104,t_500_weekave_east_asia_pc19
105,t_500_weekave_pacific_ocean_pc7
105,t_850_weekave_pacific_ocean_pc6
105,h_850_weekave_pacific_ocean_pc6
105,slp_weekave_pacific_ocean_pc6
105,h_500_weekave_pacific_ocean_pc6
106,t_850_weekave_pacific_ocean_pc9
106,t_500_weekave_pacific_ocean_pc8
107,t_850_weekave_pacific_ocean_pc7
107,h_500_weekave_pacific_ocean_pc7
107,slp_weekave_pacific_ocean_pc7
107,h_850_weekave_pacific_ocean_pc7
108,t_500_weekave_east_asia_pc8
108,h_500_weekave_east_asia_pc7
108,slp_weekave_east_asia_pc13
108,t_850_weekave_east_asia_pc7
109,h_850_weekave_east_asia_pc7
109,slp_weekave_east_asia_pc8
110,h_850_weekave_pacific_ocean_pc9
110,slp_weekave_pacific_ocean_pc9
110,h_500_weekave_pacific_ocean_pc9
111,h_850_weekave_pacific_ocean_pc10
111,slp_weekave_pacific_ocean_pc10
111,h_500_weekave_pacific_ocean_pc10
112,t_850_weekave_pacific_ocean_pc11
112,t_500_weekave_pacific_ocean_pc11
113,h_850_weekave_pacific_ocean_pc12
113,slp_weekave_pacific_ocean_pc12
113,h_500_weekave_pacific_ocean_pc11
114,t_850_weekave_pacific_ocean_pc10
114,t_500_weekave_pacific_ocean_pc12
115,t_850_weekave_pacific_ocean_pc8
115,t_500_weekave_pacific_ocean_pc9
116,h_500_weekave_pacific_ocean_pc8
116,slp_weekave_pacific_ocean_pc8
116,h_850_weekave_pacific_ocean_pc8
117,t_500_weekave_pacific_ocean_pc10
118,h_850_weekave_east_asia_pc8
118,slp_weekave_east_asia_pc6
119,t_500_weekave_east_asia_pc7
119,t_850_weekave_east_asia_pc6
119,h_500_weekave_east_asia_pc6
119,ts_weekave_east_asia_pc5
119,t_500_weekave_east_asia_pc6
120,h_500_weekave_east_asia_pc8
120,t_850_weekave_east_asia_pc8
120,ts_weekave_east_asia_pc10
121,t_500_weekave_east_asia_pc10
121,slp_weekave_east_asia_pc10
122,ts_weekave_east_asia_pc11
