Group,Mean_Importance,Std_Importance,Group_Size,Feature,Region,Horizon
79,0.0245473340585215,0.0079055958845207,3,t_850_weekave_arctic_pc2,MW,1
125,0.0235587608271075,0.0085915792992695,1,h_500_weekave_southern_canada_pc4,MW,1
83,0.0224632291160423,0.0074388418852698,2,t_850_weekave_mexico_gulf_pc2,MW,1
83,0.0224632291160423,0.0074388418852698,2,t_850_weekave_pacific_ocean_pc2,MW,1
101,0.0220455515692199,0.0251440555235865,2,slp_weekave_mexico_gulf_pc3,MW,1
101,0.0220455515692199,0.0251440555235865,2,slp_weekave_pacific_ocean_pc3,MW,1
161,0.0210902652218092,0.0092416210766526,2,slp_weekave_conus_pc5,MW,1
161,0.0210902652218092,0.0092416210766526,2,slp_weekave_east_asia_pc5,MW,1
158,0.0208025185227497,0.0108202667246952,3,h_850_weekave_pacific_trop_pc5,MW,1
158,0.0208025185227497,0.0108202667246952,3,h_850_weekave_southern_canada_pc5,MW,1
158,0.0208025185227497,0.0108202667246952,3,slp_weekave_arctic_pc5,MW,1
76,0.0201926943834413,0.0146471338965375,1,slp_weekave_southern_canada_pc2,MW,1
119,0.0195906194482755,0.008145152558595,3,ts_weekave_mexico_gulf_pc3,MW,1
119,0.0195906194482755,0.008145152558595,3,ts_weekave_conus_pc3,MW,1
119,0.0195906194482755,0.008145152558595,3,ts_weekave_east_asia_pc3,MW,1
391,0.0179191393825351,0.0048954802063552,3,h_500_weekave_southern_canada_pc16,MW,1
391,0.0179191393825351,0.0048954802063552,3,h_500_weekave_pacific_trop_pc16,MW,1
391,0.0179191393825351,0.0048954802063552,3,h_500_weekave_pacific_ocean_pc16,MW,1
70,0.016665546426226,0.008487861787883,3,h_850_weekave_atlantic_trop_pc2,MW,1
70,0.016665546426226,0.008487861787883,3,h_850_weekave_conus_pc2,MW,1
70,0.016665546426226,0.008487861787883,3,h_850_weekave_arctic_pc2,MW,1
143,0.0157912844656332,0.0033897740155155,2,t_850_weekave_southern_canada_pc4,MW,1
143,0.0157912844656332,0.0033897740155155,2,ts_weekave_arctic_pc4,MW,1
219,0.0153387269551414,0.0078518420319545,2,h_500_weekave_atlantic_trop_pc7,MW,1
219,0.0153387269551414,0.0078518420319545,2,h_500_weekave_conus_pc7,MW,1
19,0.0146736867457057,0.0129081610257543,1,slp_weekave_southern_canada_mean,MW,1
376,0.0121627131541732,0.0050938939314793,5,t_500_weekave_pacific_ocean_pc14,MW,1
376,0.0121627131541732,0.0050938939314793,5,t_500_weekave_pacific_trop_pc14,MW,1
376,0.0121627131541732,0.0050938939314793,5,t_500_weekave_southern_canada_pc14,MW,1
376,0.0121627131541732,0.0050938939314793,5,t_850_weekave_arctic_pc14,MW,1
376,0.0121627131541732,0.0050938939314793,5,t_850_weekave_atlantic_ocean_pc14,MW,1
26,0.0119414118591151,0.0091235344190791,1,t_500_weekave_southern_canada_mean,MW,1
272,0.0118910898536546,0.0037358386469937,2,t_500_weekave_mexico_gulf_pc8,MW,1
272,0.0118910898536546,0.0037358386469937,2,t_500_weekave_pacific_ocean_pc8,MW,1
162,0.0110340707765939,0.010908479001542,2,slp_weekave_pacific_ocean_pc5,MW,1
162,0.0110340707765939,0.010908479001542,2,slp_weekave_mexico_gulf_pc5,MW,1
217,0.0108005395841296,0.0045871556792179,2,ts_weekave_southern_canada_pc6,MW,1
217,0.0108005395841296,0.0045871556792179,2,h_500_weekave_arctic_pc7,MW,1
126,0.0104933303357108,0.0077347516431729,1,h_850_weekave_arctic_pc4,MW,1
109,0.0099063046532463,0.0079218583969439,1,t_850_weekave_arctic_pc3,MW,1
155,0.0098683590619259,0.0068980265284582,1,h_850_weekave_conus_pc5,MW,1
104,0.0097739458412363,0.0067351823137087,3,t_500_weekave_atlantic_trop_pc3,MW,1
104,0.0097739458412363,0.0067351823137087,3,t_500_weekave_atlantic_ocean_pc3,MW,1
104,0.0097739458412363,0.0067351823137087,3,t_500_weekave_conus_pc3,MW,1
97,0.009595274884635,0.0292299891823961,2,h_850_weekave_pacific_ocean_pc3,MW,1
97,0.009595274884635,0.0292299891823961,2,h_850_weekave_pacific_trop_pc3,MW,1
117,0.0095177883869693,0.0080512335226075,2,ts_weekave_arctic_pc3,MW,1
117,0.0095177883869693,0.0080512335226075,2,ts_weekave_atlantic_ocean_pc3,MW,1
91,0.0091406495653477,0.005495479301121,4,h_500_weekave_conus_pc3,MW,1
91,0.0091406495653477,0.005495479301121,4,h_500_weekave_east_asia_pc3,MW,1
91,0.0091406495653477,0.005495479301121,4,h_500_weekave_mexico_gulf_pc3,MW,1
91,0.0091406495653477,0.005495479301121,4,h_500_weekave_pacific_ocean_pc3,MW,1
222,0.0089405861862025,0.0094868281268249,2,h_500_weekave_southern_canada_pc7,MW,1
222,0.0089405861862025,0.0094868281268249,2,h_850_weekave_arctic_pc7,MW,1
373,0.0086628091892965,0.0038031271500059,2,h_850_weekave_east_asia_pc14,MW,1
373,0.0086628091892965,0.0038031271500059,2,h_850_weekave_conus_pc14,MW,1
60,0.0086451085004253,0.0032835931927942,1,t_500_weekave_east_asia_pc1,MW,1
89,0.0086160234606985,0.0028851189329809,1,ts_weekave_southern_canada_pc2,MW,1
242,0.0084428276152516,0.002884385487419,1,t_850_weekave_mexico_gulf_pc7,MW,1
301,0.0083338559719976,0.0034665214344632,2,t_500_weekave_southern_canada_pc10,MW,1
301,0.0083338559719976,0.0034665214344632,2,t_850_weekave_arctic_pc10,MW,1
207,0.008276281343798,0.0043819578652851,4,t_500_weekave_conus_pc6,MW,1
207,0.008276281343798,0.0043819578652851,4,t_500_weekave_east_asia_pc6,MW,1
207,0.008276281343798,0.0043819578652851,4,t_500_weekave_mexico_gulf_pc6,MW,1
207,0.008276281343798,0.0043819578652851,4,t_500_weekave_pacific_ocean_pc6,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_850_weekave_pacific_trop_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_850_weekave_pacific_ocean_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_850_weekave_mexico_gulf_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_850_weekave_east_asia_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_850_weekave_conus_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_850_weekave_arctic_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_850_weekave_atlantic_ocean_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_500_weekave_southern_canada_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_500_weekave_pacific_trop_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_500_weekave_pacific_ocean_pc15,MW,1
384,0.0082060163719162,0.0059656427533975,11,h_850_weekave_atlantic_trop_pc15,MW,1
